variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,30,0.4672,0.0388,2.1421,0.0794,0.3198,0.0267,2.5914,0.0501,4.1,2.5,6.4,0
+SCI,30,0.4719,0.0517,2.1315,0.1074,0.3185,0.0469,2.593,0.0839,4.4,2.9,6.2,0
+SCI+SDGE,30,0.4558,0.0373,2.165,0.0765,0.3259,0.0216,2.5799,0.0422,5.5,5.1,6.2,0
+SCI+SDGE+RSC,30,0.4773,0.0434,2.1212,0.0893,0.3252,0.03,2.5809,0.0571,3.4,0.8,6.8,0
SSAHHO,30,0.4833,0.0462,2.1088,0.0957,0.3228,0.0392,2.5851,0.0738,3.5,0.7,7.0,0
