Set,R2,RMSE,RPD,Best_Params
Train,0.6634884141445734,1.7034677896205523,1.7238520488159743,"{'C': 1.3769680587998967, 'gamma': 0.1748037002213673, 'epsilon': 0.02534486531960392, 'kernel': 'rbf'}"
Test,0.2753298272004794,2.6752664347332544,1.1747076766987359,"{'C': 1.3769680587998967, 'gamma': 0.1748037002213673, 'epsilon': 0.02534486531960392, 'kernel': 'rbf'}"
