b93,b14,b58,b87,b41,b59,b32,TS
2599.96991,654.1446863,1881.037132,2544.306818,1437.672695,1904.703105,1278.294174,8.875
2203.565912,499.3438835,1418.174395,2049.217756,1024.696946,1446.081025,913.7043836,1.65
2003.668374,521.584347,1362.081626,1913.006082,1000.029449,1381.783771,927.4596671,1.45
2396.018726,639.0632202,1764.202305,2301.643726,1343.979994,1789.403649,1215.986236,8.2
2008.962175,365.9993506,1220.163799,1854.401461,844.0423701,1243.686039,758.2150974,3.875
2206.112201,550.6664029,1514.338503,2087.76721,1102.368096,1526.641399,991.2098433,2.1
2799.09283,1044.432778,2292.600672,2730.048656,1814.642125,2317.893246,1686.06162,11.8
2068.633163,440.1174776,1313.671895,1971.056338,947.2770487,1334.471511,856.6782971,2.4
2747.671309,664.7186264,1828.486153,2638.717202,1351.756765,1861.417788,1217.337079,8.725
1997.589017,404.3590758,1225.483146,1848.285488,883.8308277,1245.580313,797.7865169,1.775
2036.338988,435.8902049,1331.904289,1931.565941,940.8993278,1357.536492,851.6387644,4.475
2077.445324,513.2910271,1398.732394,1967.96376,1010.62858,1414.623675,948.3168223,3.9
2334.575724,515.6520019,1548.262542,2206.488527,1131.653901,1578.05982,1004.180567,2.175
2336.045893,850.1492325,1839.873239,2279.219497,1452.783827,1858.252572,1316.881627,4.95
2588.690141,813.7837708,1905.732554,2446.412932,1492.647407,1919.886204,1339.773848,9.0
2914.669823,1078.742857,2500.354414,2841.142055,1934.611075,2524.055538,1784.457303,5.775
2011.15276,423.6983766,1276.120617,1885.145779,924.3883117,1290.60276,830.2318182,1.9
2370.40541,558.8778809,1537.84219,2236.568502,1116.52993,1574.550576,1001.414693,1.675
2590.930378,563.5680218,1644.409891,2411.146287,1196.709027,1663.356274,1035.776729,4.125
2310.898207,657.7983355,1673.613476,2265.727753,1270.116357,1694.431018,1165.886844,4.225
2265.800416,488.8085787,1418.173976,2127.529449,998.337388,1434.919334,902.7223111,1.65
2124.304577,725.1309219,1589.396447,2030.611236,1250.079065,1606.372439,1167.126921,10.2
2632.370999,704.3689181,1838.497279,2515.175736,1364.104033,1866.145967,1249.229834,6.825
2633.666245,853.0788099,2128.839215,2561.685393,1608.109194,2145.395157,1497.886374,8.55
2513.876921,795.9478233,2010.46767,2459.90605,1535.142125,2035.042254,1387.548015,8.225
1982.671784,465.0978003,1297.360342,1868.683019,950.2258269,1319.465263,859.6896661,2.3
2280.635385,483.5586327,1453.110777,2147.448172,1030.607058,1483.720525,903.2291502,2.175
2135.121538,502.5089413,1411.719576,2019.865169,1068.571926,1443.900617,969.8683336,4.625
2554.7374,779.5577849,1922.126645,2481.491011,1468.932905,1956.984751,1353.054735,6.45
2986.675107,1358.619402,2588.687134,3036.660389,2116.53442,2641.267131,2009.817218,6.05
2251.152689,609.128041,1690.632522,2181.114757,1289.253681,1712.264085,1149.68806,4.525
2218.033075,513.9181833,1556.745846,2123.795379,1152.452129,1578.012818,1047.487261,3.475
2152.189587,527.193385,1451.523659,2063.566704,1084.523501,1472.160627,975.040671,3.275
2850.684699,801.6600512,2162.571383,2684.28009,1640.859155,2180.010083,1445.888284,11.2
2295.214433,642.1425859,1665.316031,2217.598512,1224.77623,1665.464156,1110.206995,1.625
2207.941581,519.5947503,1464.430218,2110.883483,1077.015525,1486.616037,988.0019206,2.25
3095.785877,1272.621591,2661.041071,3071.440097,2133.189123,2688.086851,1957.525487,6.45
2461.002881,626.6165173,1730.68806,2342.800896,1269.46735,1758.074104,1122.050736,2.125
3349.639405,1636.894206,2991.462068,3291.108835,2493.81322,3004.784091,2253.37548,7.575
2416.184091,542.6381494,1694.326136,2322.848052,1236.740097,1708.833766,1105.220942,3.0
2212.290493,509.1691741,1461.018406,2109.31242,1055.861076,1476.383643,973.2021447,4.825
2268.508467,483.9329008,1396.290078,2082.495648,1023.298781,1422.141795,900.9531571,4.35
2312.786517,553.136414,1538.752492,2247.233898,1117.891122,1570.873081,1027.259535,2.15
2778.01899,858.2660231,2082.885108,2685.779237,1613.761671,2118.273303,1475.664979,8.125
2032.919334,447.4583867,1281.707586,1934.822503,910.7852113,1300.237996,847.762484,1.475
2855.707426,1046.703425,2443.201825,2832.742157,1872.754802,2475.53089,1730.528809,8.375
2234.692382,511.0473752,1464.71719,2113.712868,1056.666133,1470.106434,939.8725992,1.325
