variant,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Train_MAE_mean,Train_MAE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,Test_MAE_mean,Test_MAE_std,n_feat_mean,n_feat_std,time_mean_sec
HHO,0.4806,0.0681,2.1112,0.1491,1.7233,0.1249,0.3062,0.0533,2.6158,0.0965,1.8601,0.0764,4.2,4.7,4.9
MSHHO_I1,0.4923,0.069,2.0871,0.1505,1.7001,0.1359,0.3,0.0841,2.6254,0.1464,1.8397,0.0851,3.0,3.1,4.7
MSHHO_I2,0.5108,0.0799,2.0466,0.1748,1.6595,0.1681,0.2824,0.1063,2.6561,0.1827,1.8507,0.103,5.4,4.8,5.1
MSHHO_I3,0.447,0.0289,2.1829,0.0585,1.7857,0.0558,0.3203,0.0213,2.5907,0.0406,1.8687,0.0486,1.3,1.0,4.2
MSHHO,0.4755,0.0796,2.1191,0.182,1.7276,0.1644,0.2994,0.0697,2.6277,0.1231,1.8778,0.0938,2.4,3.1,4.5
