variant,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Train_MAE_mean,Train_MAE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,Test_MAE_mean,Test_MAE_std,n_feat_mean,n_feat_std,time_mean_sec
HHO,0.8157,0.0703,1.2384,0.239,0.9508,0.1773,0.3276,0.0769,2.5728,0.1489,1.9103,0.1537,6.2,4.1,8.3
MSHHO_I1,0.8222,0.0644,1.2211,0.2085,0.9514,0.1588,0.3404,0.0839,2.5473,0.1616,1.9072,0.1545,5.7,3.5,8.8
MSHHO_I2,0.8204,0.0645,1.2249,0.2217,0.9496,0.1682,0.326,0.0739,2.5761,0.1427,1.9301,0.1439,5.5,3.6,8.7
MSHHO_I3,0.7712,0.0833,1.3797,0.2663,1.0602,0.1895,0.3238,0.0909,2.5787,0.1715,1.8882,0.1477,4.0,3.9,8.3
MSHHO,0.7781,0.0794,1.361,0.2511,1.0484,0.1761,0.3185,0.0876,2.5892,0.166,1.8911,0.1308,4.0,3.5,8.2
