b143,b92,b14,TS
3000.951504,2581.629962,654.1446863,8.875
2997.548346,2167.81247,499.3438835,1.65
2705.209507,1965.433899,521.584347,1.45
2878.534411,2379.487676,639.0632202,8.2
2725.828571,1967.182305,365.9993506,3.875
2926.552936,2153.868967,550.6664029,2.1
2958.3121,2773.040013,1044.432778,11.8
2838.78217,2028.330826,440.1174776,2.4
3425.502295,2719.381073,664.7186264,8.725
2752.893021,1970.716569,404.3590758,1.775
2693.964149,2014.574264,435.8902049,4.475
2805.683336,2041.831302,513.2910271,3.9
3081.194968,2300.1812,515.6520019,2.175
2593.659598,2317.748536,850.1492325,4.95
3126.997439,2552.245198,813.7837708,9.0
2891.736437,2882.446388,1078.742857,5.775
2676.562013,1989.660552,423.6983766,1.9
3179.160851,2313.703425,558.8778809,1.675
3400.472471,2557.303457,563.5680218,4.125
2852.390525,2300.791613,657.7983355,4.225
3293.901569,2240.828265,488.8085787,1.65
2498.544334,2097.71975,725.1309219,10.2
3323.706146,2604.505442,704.3689181,6.825
2890.28897,2608.571768,853.0788099,8.55
2604.193822,2474.808739,795.9478233,8.225
2641.238171,1959.114417,465.0978003,2.3
3060.76626,2245.675898,483.5586327,2.175
2799.786042,2093.465263,502.5089413,4.625
3029.428892,2535.749278,779.5577849,6.45
3038.39579,2987.845545,1358.619402,6.05
2488.628521,2234.476793,609.128041,4.525
2765.381389,2176.94746,513.9181833,3.475
2940.510049,2129.261434,527.193385,3.275
3044.144686,2801.904449,801.6600512,11.2
2912.018516,2254.143377,642.1425859,1.625
2866.167093,2177.054417,519.5947503,2.25
3144.939773,3098.031981,1272.621591,6.45
3052.972471,2437.079385,626.6165173,2.125
3242.358195,3334.724872,1636.894206,7.575
3036.261364,2377.821916,542.6381494,3.0
3051.790333,2168.510883,509.1691741,4.825
3005.991613,2221.627947,483.9329008,4.35
3055.080551,2276.95379,553.136414,2.15
3147.089413,2752.488368,858.2660231,8.125
2787.428297,2003.323784,447.4583867,1.475
2875.523367,2849.572343,1046.703425,8.375
3070.915973,2203.048816,511.0473752,1.325
