b94,b59,b143,TS
2618.077145,1904.703105,3000.951504,8.875
2230.211742,1446.081025,2997.548346,1.65
2034.107074,1381.783771,2705.209507,1.45
2411.419814,1789.403649,2878.534411,8.2
2038.919318,1243.686039,2725.828571,3.875
2239.717993,1526.641399,2926.552936,2.1
2815.894686,2317.893246,2958.3121,11.8
2101.15509,1334.471511,2838.78217,2.4
2773.490426,1861.417788,3425.502295,8.725
2016.988764,1245.580313,2752.893021,1.775
2060.298335,1357.536492,2693.964149,4.475
2106.329008,1414.623675,2805.683336,3.9
2367.689983,1578.05982,3081.194968,2.175
2345.885267,1858.252572,2593.659598,4.95
2609.784731,1919.886204,3126.997439,9.0
2938.200803,2524.055538,2891.736437,5.775
2026.871753,1290.60276,2676.562013,1.9
2403.700064,1574.550576,3179.160851,1.675
2623.294814,1663.356274,3400.472471,4.125
2313.651408,1694.431018,2852.390525,4.225
2289.946223,1434.919334,3293.901569,1.65
2127.696863,1606.372439,2498.544334,10.2
2653.981114,1866.145967,3323.706146,6.825
2651.986865,2145.395157,2890.28897,8.55
2533.708387,2035.042254,2604.193822,8.225
1997.254787,1319.465263,2641.238171,2.3
2317.814844,1483.720525,3060.76626,2.175
2162.76626,1443.900617,2799.786042,4.625
2581.761156,1956.984751,3029.428892,6.45
2960.104289,2641.267131,3038.39579,6.05
2261.766805,1712.264085,2488.628521,4.525
2249.568444,1578.012818,2765.381389,3.475
2177.615287,1472.160627,2940.510049,3.275
2839.909411,2180.010083,3044.144686,11.2
2322.199715,1665.464156,2912.018516,1.625
2234.645006,1486.616037,2866.167093,2.25
3093.385714,2688.086851,3144.939773,6.45
2489.398047,1758.074104,3052.972471,2.125
3345.426376,3004.784091,3242.358195,7.575
2443.034416,1708.833766,3036.261364,3.0
2245.275288,1476.383643,3051.790333,4.825
2308.496756,1422.141795,3005.991613,4.35
2329.120589,1570.873081,3055.080551,2.15
2791.737775,2118.273303,3147.089413,8.125
2057.233035,1300.237996,2787.428297,1.475
2863.974552,2475.53089,2875.523367,8.375
2263.557458,1470.106434,3070.915973,1.325
