b72,TS
2216.861556,8.875
1746.906156,1.65
1616.060339,1.45
2048.547055,8.2
1530.10487,3.875
1779.213008,2.1
2570.275608,11.8
1620.806818,2.4
2231.508467,8.725
1555.227093,1.775
1626.322663,4.475
1672.088463,3.9
1873.797753,2.175
2093.677006,4.95
2217.433419,9.0
2752.854575,5.775
1586.312987,1.9
1878.743598,1.675
2021.150608,4.125
1971.403489,4.225
1761.231434,1.65
1855.178457,10.2
2197.37596,6.825
2393.834942,8.55
2271.675096,8.225
1585.471435,2.3
1778.942238,2.175
1730.805349,4.625
2238.239807,6.45
2858.352904,6.05
1975.179738,4.525
1847.290711,3.475
1746.379332,3.275
2472.993438,11.2
1906.445007,1.625
1771.568022,2.25
2948.676299,6.45
2041.041773,2.125
3260.421735,7.575
1969.641883,3.0
1759.96783,4.825
1769.677481,4.35
1849.482355,2.15
2415.893654,8.125
1594.471031,1.475
2699.961908,8.375
1769.677337,1.325
