b17,b60,b69,b70,TS
748.6402049,1927.34459,2157.524488,2183.683579,8.875
554.3739516,1473.691565,1669.105238,1698.830669,1.65
546.1680538,1401.019686,1575.926857,1595.354353,1.45
699.6432458,1815.544174,1993.210467,2001.399968,8.2
428.4225649,1266.465909,1469.92224,1496.166558,3.875
580.7974363,1538.86501,1727.373002,1757.919608,2.1
1118.548496,2342.516485,2506.717029,2535.15525,11.8
504.7596031,1355.020967,1557.314981,1583.541613,2.4
742.576357,1896.055389,2164.131825,2185.358759,8.725
465.1178984,1265.385188,1485.619718,1513.363349,1.775
509.1523688,1381.770006,1555.770967,1576.602433,4.475
578.5739832,1431.381864,1607.400063,1633.496281,3.9
582.4769742,1608.252255,1818.359392,1839.709289,2.175
895.1139421,1877.053173,2052.446115,2059.294034,4.95
870.8039373,1932.772407,2151.141805,2175.904449,9.0
1158.950722,2548.288443,2710.236918,2727.564526,5.775
487.1056818,1305.186039,1503.564935,1530.90974,1.9
617.828105,1611.473431,1807.43726,1840.761044,1.675
620.0830666,1680.854193,1963.885563,1982.084507,4.125
722.7197503,1714.838828,1892.138764,1914.555378,4.225
549.9361396,1450.246639,1673.81274,1701.861556,1.65
767.5208067,1623.501921,1790.424136,1813.495999,10.2
787.2634443,1893.795935,2118.011844,2133.606274,6.825
952.4644722,2161.5417,2354.040513,2368.871973,8.55
887.0113636,2059.790013,2222.439821,2252.330026,8.225
524.6396582,1342.48552,1511.143061,1546.947618,2.3
532.4135148,1513.052856,1739.66213,1749.003007,2.175
576.3078019,1476.729704,1666.135464,1701.413357,4.625
861.5346709,1992.398395,2179.791332,2187.758748,6.45
1423.862003,2695.649312,2782.403228,2808.75724,6.05
680.349872,1734.115077,1919.975512,1936.076344,4.525
608.9417629,1597.60595,1771.981801,1802.656749,3.475
590.1050799,1493.208894,1703.708182,1708.687767,3.275
875.9322983,2197.398688,2432.007042,2458.493438,11.2
667.8013926,1667.125495,1867.866909,1873.523975,1.625
588.4204545,1507.691261,1719.163572,1740.551536,2.25
1375.083604,2711.132468,2904.044968,2896.470292,6.45
679.4113316,1785.654449,2000.901889,2010.205506,2.125
1702.060659,3017.524648,3175.277689,3207.87596,7.575
617.7915584,1722.002435,1904.085065,1925.065909,3.0
581.8098592,1490.752721,1681.28233,1714.184699,4.825
536.0680487,1449.845229,1699.622883,1722.670517,4.35
607.7018516,1602.391676,1788.545656,1814.661655,2.15
920.6178193,2153.155879,2360.290552,2375.575566,8.125
516.7205506,1317.508643,1520.043534,1547.683099,1.475
1144.75,2508.74936,2637.986556,2649.995519,8.375
537.9321383,1475.028649,1700.236556,1713.113636,1.325
