Set,R2,RMSE,RPD,Best_Params
Train,0.9875750253185541,0.3273268805222161,8.971235220720292,"{'C': 8.225574217584843, 'gamma': 0.1908109573958944, 'epsilon': 0.05393414357763254, 'kernel': 'rbf'}"
Test,0.34932234362071934,2.53501068637459,1.239701290013115,"{'C': 8.225574217584843, 'gamma': 0.1908109573958944, 'epsilon': 0.05393414357763254, 'kernel': 'rbf'}"
