b91,TS
2562.490397,8.875
2133.595664,1.65
1927.709987,1.45
2363.109475,8.2
1929.493344,3.875
2104.037348,2.1
2750.423335,11.8
1991.172055,2.4
2694.02532,8.725
1941.44295,1.775
1994.864117,4.475
2010.697579,3.9
2267.333281,2.175
2300.029435,4.95
2518.454065,9.0
2853.400482,5.775
1965.588799,1.9
2256.704225,1.675
2521.865557,4.125
2291.016485,4.225
2216.310179,1.65
2072.337548,10.2
2578.684699,6.825
2587.311758,8.55
2438.366197,8.225
1937.880677,2.3
2210.718785,2.175
2054.736509,4.625
2515.578812,6.45
2991.097167,6.05
2218.108835,4.525
2142.777022,3.475
2108.078968,3.275
2754.991357,11.2
2213.771483,1.625
2150.268246,2.25
3099.330195,6.45
2411.483515,2.125
3319.212708,7.575
2343.514123,3.0
2130.855154,4.825
2180.045102,4.35
2241.146542,2.15
2725.697737,8.125
1976.458547,1.475
2843.986076,8.375
2174.067222,1.325
