variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,5,0.4784,0.0715,2.1166,0.1516,0.323,0.0239,2.5855,0.0459,5.0,2.9,0.7,0
+SCI,5,0.5056,0.0429,2.0633,0.0882,0.3276,0.0146,2.5768,0.028,3.4,0.9,0.7,0
+SCI+SDGE,5,0.4765,0.0382,2.1236,0.0773,0.3195,0.0187,2.5923,0.0358,3.0,0.0,0.6,0
+SCI+SDGE+RSC,5,0.5093,0.0745,2.0522,0.1583,0.3217,0.026,2.588,0.0496,3.2,0.4,0.7,0
SSAHHO,5,0.4925,0.0658,2.0885,0.1349,0.3397,0.0558,2.5519,0.1104,3.2,0.4,0.7,0
