b161,b92,b106,b58,b152,b101,b146,b144,TS
2353.316421,2581.629962,2711.728553,1881.037132,2298.674776,2682.713988,2870.233515,2982.832266,8.875
2493.297041,2167.81247,2363.963127,1418.174395,2552.899509,2316.702959,2950.391676,3011.646147,1.65
2082.014085,1965.433899,2141.818502,1362.081626,2014.871959,2107.577465,2519.611396,2671.350032,1.45
2259.520166,2379.487676,2513.84267,1764.202305,2123.542894,2495.869558,2733.256402,2859.525128,8.2
2056.893669,1967.182305,2179.863474,1220.163799,2141.032143,2118.593344,2557.37224,2694.230682,3.875
2369.46463,2153.868967,2385.446748,1514.338503,2215.169331,2319.546289,2766.676215,2906.664979,2.1
2301.855954,2773.040013,2836.439821,2292.600672,2220.769366,2825.698143,2775.474392,2921.18598,11.8
2347.705346,2028.330826,2221.825544,1313.671895,2252.819782,2177.006722,2717.502401,2820.178777,2.4
2974.81975,2719.381073,2919.839057,1828.486153,2910.777338,2838.31793,3319.134357,3413.470486,8.725
2181.607216,1970.716569,2126.267289,1225.483146,2136.044786,2067.639183,2617.383922,2758.983225,1.775
2051.739277,2014.574264,2207.169494,1331.904289,2136.442862,2157.84363,2603.56146,2704.616997,4.475
2378.809305,2041.831302,2227.524767,1398.732394,2245.592024,2183.223928,2703.372844,2791.403228,3.9
2556.476025,2300.1812,2483.401171,1548.262542,2502.067416,2438.89128,3008.475866,3087.41937,2.175
1831.392784,2317.748536,2401.372053,1839.873239,1987.786833,2380.030543,2502.272353,2613.613072,4.95
2719.550896,2552.245198,2734.670294,1905.732554,2748.288572,2686.308099,3066.482875,3137.59523,9.0
2151.164045,2882.446388,2910.033868,2500.354414,2172.855377,2923.467576,2798.015088,2901.597592,5.775
2013.571104,1989.660552,2141.616071,1276.120617,2006.527435,2087.297565,2544.832143,2671.434578,1.9
2636.339309,2313.703425,2522.051697,1537.84219,2699.216869,2462.197823,3040.600032,3168.24936,1.675
2954.93774,2557.303457,2791.049296,1644.409891,2821.197023,2728.40717,3284.109955,3386.838828,4.125
2275.927497,2300.791613,2453.369878,1673.613476,2007.412292,2374.583067,2625.602753,2841.822023,4.225
2993.239757,2240.828265,2480.40685,1418.173976,3031.84299,2412.698303,3194.004962,3267.208227,1.65
1667.895807,2097.71975,2154.784251,1589.396447,1830.118118,2163.818182,2279.87596,2469.836428,10.2
2819.956306,2604.505442,2819.422535,1838.497279,2744.923816,2759.779289,3179.911492,3295.684219,6.825
2228.087039,2608.571768,2703.160468,2128.839215,2226.413673,2682.744738,2729.838266,2858.7047,8.55
1697.477433,2474.808739,2523.899008,2010.46767,1660.572823,2521.175576,2376.706786,2564.057458,8.225
2056.05618,1959.114417,2121.70739,1297.360342,2132.929103,2075.034974,2525.813103,2631.990347,2.3
2632.573192,2245.675898,2498.149074,1453.110777,2672.348315,2429.206678,2995.490109,3070.843804,2.175
2211.002532,2093.465263,2221.804241,1411.719576,2092.337237,2197.94382,2668.689033,2790.491375,4.625
2385.767897,2535.749278,2667.586356,1922.126645,2528.175923,2661.213965,2897.798716,3021.153933,6.45
2109.173762,2987.845545,2896.54344,2588.687134,2233.330907,2961.01899,2781.28533,2982.503402,6.05
1602.246479,2234.476793,2240.18838,1690.632522,1645.372919,2255.431498,2319.492478,2459.097151,4.525
2222.793796,2176.94746,2360.927995,1556.745846,2166.019307,2304.250198,2640.009179,2741.224561,3.475
2490.405444,2129.261434,2358.611489,1451.523659,2339.014559,2285.217598,2862.215699,2937.205412,3.275
2421.319942,2801.904449,2863.394206,2162.571383,2315.828585,2843.148848,2866.271287,3032.734955,11.2
2345.322361,2254.143377,2442.350214,1665.316031,2094.572242,2366.11869,2708.64947,2875.566387,1.625
2329.956786,2177.054417,2363.8137,1464.430218,2289.252081,2305.145807,2753.109315,2862.755602,2.25
2174.693344,3098.031981,3100.946429,2661.041071,2319.476786,3136.391883,2872.048701,3069.710714,6.45
2486.308579,2437.079385,2622.930218,1730.68806,2614.326344,2578.037452,3005.549776,3075.047535,2.125
2496.59443,3334.724872,3326.464149,2991.462068,2446.772407,3352.571383,3083.240237,3220.934379,7.575
2460.013312,2377.821916,2590.186688,1694.326136,2296.581006,2550.546916,2856.721104,2998.010065,3.0
2630.899968,2168.510883,2394.463028,1461.018406,2446.497439,2305.252241,2911.776248,3026.90749,4.825
2557.254945,2221.627947,2405.571451,1396.290078,2461.030068,2365.61592,2901.45292,2993.073904,4.35
2445.198133,2276.95379,2479.925305,1538.752492,2233.287545,2424.11236,2827.758506,2998.757557,2.15
2519.689983,2752.488368,2873.99636,2082.885108,2447.335813,2851.137997,2970.435987,3144.558949,8.125
2350.620038,2003.323784,2211.713988,1281.707586,2273.491997,2141.866997,2697.338828,2786.065941,1.475
2049.4992,2849.572343,2898.119398,2443.201825,1995.971191,2888.71991,2704.133483,2866.451184,8.375
2614.820102,2203.048816,2445.289853,1464.71719,2351.990717,2336.700864,2899.372119,3043.764565,1.325
