b21,b23,b31,b59,b77,b98,b99,b111,b137,TS
847.478073,902.3450704,1263.622119,1904.703105,2336.375,2713.945583,2710.246159,2662.46911,3093.755922,8.875
610.8716569,643.4984966,906.7406235,1446.081025,1808.065833,2314.51179,2322.00633,2354.006488,2882.413198,1.65
618.9897567,651.2568822,922.5171255,1381.783771,1719.46927,2078.549296,2084.866517,2122.984155,2596.025448,1.45
829.1861396,850.2207106,1204.970871,1789.403649,2144.15717,2443.146447,2458.721031,2463.695262,2796.793694,8.2
486.2732143,519.1917208,747.299513,1243.686039,1635.15763,2091.351136,2101.468506,2168.375487,2611.125487,3.875
655.6645039,700.2745688,989.1607849,1526.641399,1905.282798,2262.383447,2278.394208,2329.491059,2815.163159,2.1
1232.986716,1289.683419,1680.326344,2317.893246,2642.007042,2828.560179,2829.435019,2732.551376,2862.496959,11.8
556.3026569,602.6298015,848.7426376,1334.471511,1731.518246,2180.830346,2184.865877,2254.173656,2844.049296,2.4
810.6969457,854.3616078,1210.470802,1861.417788,2365.843013,2838.195442,2840.141636,2910.868017,3345.631113,8.725
511.5329957,541.2457667,796.3101757,1245.580313,1646.020889,2065.969299,2058.687609,2126.543124,2655.445007,1.775
561.1478873,592.328105,841.7267926,1357.536492,1717.884123,2158.040173,2158.440461,2175.828585,2645.572983,4.475
629.6358601,671.7113467,947.7050166,1414.623675,1777.181991,2147.805507,2161.206678,2227.34515,2747.596297,3.9
644.5967716,701.8017091,994.1378383,1578.05982,1974.225352,2430.98101,2433.318405,2466.370312,3046.84507,2.175
938.0925779,1011.910429,1326.224719,1858.252572,2150.651052,2362.160468,2369.160943,2353.232315,2677.647571,4.95
938.7980154,990.2760883,1336.435019,1919.886204,2263.248239,2622.46767,2643.488956,2695.645006,3158.552337,9.0
1291.890048,1375.379775,1790.010273,2524.055538,2802.814928,2939.901284,2935.98122,2802.294382,2846.677047,5.775
540.3186688,572.9034091,823.8060065,1290.60276,1663.990097,2068.012825,2076.139123,2138.176623,2579.501786,1.9
680.0078425,705.1830986,981.7559219,1574.550576,1976.097631,2430.443662,2436.319302,2509.184379,3006.440461,1.675
673.5200064,721.6272407,1031.521607,1663.356274,2136.964309,2665.379481,2677.602913,2813.419974,3395.671415,4.125
804.5083227,827.3357875,1159.84235,1694.431018,2066.200704,2373.076985,2358.297695,2414.809859,2766.646287,4.225
608.3754802,628.9767926,884.3095391,1434.919334,1864.628201,2355.152209,2373.955346,2490.616997,3152.637164,1.65
844.9639885,879.246959,1170.897247,1606.372439,1920.534891,2133.198464,2148.419334,2084.977753,2420.011204,10.2
846.0208067,906.2791293,1234.372439,1866.145967,2311.478393,2734.888124,2748.597311,2780.721031,3260.50112,6.825
1022.867068,1104.38772,1492.338819,2145.395157,2470.307485,2678.093369,2685.495806,2613.889698,2805.38677,8.55
969.3778809,1020.640365,1363.886044,2035.042254,2331.059859,2525.176697,2523.488956,2433.767446,2523.302017,8.225
569.412407,592.7398323,848.1253363,1319.465263,1659.159044,2056.878462,2072.419845,2120.326159,2608.05982,2.3
592.614496,631.8414306,896.3600253,1483.720525,1907.258743,2416.485995,2420.60595,2491.349581,3036.375376,2.175
651.5192277,686.618927,952.4296566,1443.900617,1818.329166,2193.53347,2196.234689,2223.53078,2681.655167,4.625
953.4420546,1010.698555,1343.793419,1956.984751,2333.447352,2671.47496,2662.84077,2613.886838,3059.349117,6.45
1540.595664,1625.895395,2012.67938,2641.267131,2935.550404,2967.846969,2965.516854,2811.560848,2978.335813,6.05
749.6414853,805.3569142,1139.797855,1712.264085,2028.741837,2254.889405,2253.770487,2214.085467,2402.518726,4.525
675.8518753,733.4594081,1038.162367,1578.012818,1956.489001,2281.727014,2292.180567,2335.265865,2667.145751,3.475
669.2962494,696.013768,962.0705808,1472.160627,1872.296724,2249.316189,2259.483463,2346.514164,2849.431556,3.275
998.759443,1046.93886,1433.057298,2180.010083,2577.176857,2880.144366,2868.065941,2776.165333,2998.578425,11.2
750.2497231,800.560057,1109.806298,1665.464156,2021.337079,2323.877671,2334.243709,2405.881785,2812.273777,1.625
676.3629962,689.840589,966.7275928,1486.616037,1896.3113,2302.663892,2302.119238,2355.111876,2790.9363,2.25
1443.418019,1534.139286,1944.681981,2688.086851,3024.941234,3121.945617,3123.598377,2981.808279,3094.38539,6.45
743.9460627,806.2664853,1112.216229,1758.074104,2144.742798,2575.96959,2575.960147,2593.324264,3077.060659,2.125
1778.802017,1886.713828,2238.12356,3004.784091,3253.760243,3285.21751,3308.940301,3241.247599,3307.971191,7.575
707.5332792,765.1907468,1083.117045,1708.833766,2095.742045,2525.994481,2539.776299,2531.428084,2981.564773,3.0
639.9654289,678.1856594,967.5305698,1476.383643,1868.708867,2281.450864,2292.427977,2406.65605,2915.652689,4.825
584.344833,622.4200032,894.4975471,1422.141795,1842.930685,2351.844912,2360.51179,2425.414781,2923.823548,4.35
689.5057762,722.303529,1020.592974,1570.873081,1987.868175,2354.742523,2371.395157,2469.393733,2998.030226,2.15
1047.689508,1100.085298,1462.681595,2118.273303,2513.448489,2828.546289,2840.067574,2801.883684,3143.844596,8.125
565.8185019,591.9710307,846.650128,1300.237996,1708.144366,2107.196383,2120.570262,2217.447183,2770.93694,1.475
1250.320743,1309.327785,1723.733195,2475.53089,2771.388764,2930.658291,2911.462708,2771.276729,2893.626921,8.375
600.9090909,648.6016325,939.0774648,1470.106434,1889.260563,2283.338508,2298.760243,2434.509283,2932.556498,1.325
