variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,30,0.4613,0.043,2.1535,0.0886,0.3186,0.0241,2.5938,0.0458,3.9,2.0,6.2,0
+SCI,30,0.4683,0.0493,2.1388,0.1022,0.3241,0.0192,2.5834,0.0368,3.6,1.3,6.2,0
+SCI+SDGE,30,0.4594,0.0391,2.1577,0.08,0.3234,0.0219,2.5847,0.0427,3.2,0.7,6.2,0
+SCI+SDGE+RSC,30,0.4732,0.046,2.1294,0.0948,0.3184,0.0325,2.5939,0.0615,3.3,0.8,6.9,0
SSAHHO,30,0.4767,0.0465,2.1223,0.0954,0.3201,0.0373,2.5904,0.0716,3.3,0.7,6.9,0
