b29,b30,b58,b59,b60,b71,b75,b96,b98,b103,b104,b127,b141,TS
1243.667254,1253.06178,1881.037132,1904.703105,1927.34459,2209.272727,2272.086428,2672.50048,2713.945583,2733.34219,2729.358995,3020.837708,3035.075864,2.2923914230731737
884.2285172,896.1596772,1418.174395,1446.081025,1473.691565,1727.232948,1775.523026,2261.253205,2314.51179,2338.848552,2348.289128,2846.843963,2956.348789,0.5063756211519992
900.5462548,912.5054417,1362.081626,1381.783771,1401.019686,1610.690941,1670.297695,2060.53137,2078.549296,2150.471351,2152.12484,2559.042093,2665.232554,0.3746408034078961
1196.658131,1200.414533,1764.202305,1789.403649,1815.544174,2013.596191,2107.978553,2433.004481,2443.146447,2516.460787,2518.171255,2830.370679,2874.393886,2.2054004200751924
749.6649351,747.7456169,1220.163799,1243.686039,1266.465909,1520.407955,1594.609578,2045.709253,2091.351136,2185.997078,2182.691883,2610.828896,2701.075,1.3960441798593108
959.4396265,975.4037031,1514.338503,1526.641399,1538.86501,1780.789682,1849.41573,2250.189745,2262.383447,2354.368254,2378.316664,2774.658332,2887.032758,0.7542745689230116
1672.103713,1676.170775,2292.600672,2317.893246,2342.516485,2561.15669,2604.823944,2814.546575,2828.560179,2850.600992,2850.18822,2999.679738,2915.207426,2.6081933409025377
840.2243918,844.0192061,1313.671895,1334.471511,1355.020967,1607.240557,1676.543694,2132.159731,2180.830346,2222.325064,2219.629481,2699.645006,2821.245999,0.8926805424328147
1165.542016,1188.489634,1828.486153,1861.417788,1896.055389,2207.184681,2303.995094,2815.33692,2838.195442,2921.507201,2929.133882,3311.475075,3403.322994,2.2736202580814875
772.330432,787.6635544,1225.483146,1245.580313,1265.385188,1537.191328,1587.050008,2047.801234,2065.969299,2107.128185,2129.203671,2612.689191,2737.687134,0.581161143981072
830.8599552,836.7488796,1331.904289,1357.536492,1381.770006,1599.15685,1680.172855,2111.322663,2158.040173,2207.729994,2212.339949,2592.536812,2678.620198,1.549403819541715
933.7776547,940.5945561,1398.732394,1414.623675,1431.381864,1656.762937,1730.674474,2112.972464,2147.805507,2204.685235,2215.111885,2635.919133,2732.185789,1.4028740669951625
982.1775597,987.9950942,1548.262542,1578.05982,1608.252255,1860.550245,1918.043203,2420.338661,2430.98101,2486.478398,2488.727805,2968.672258,3085.223453,0.7905675700722566
1325.184365,1327.118531,1839.873239,1858.252572,1877.053173,2069.96376,2117.285172,2332.338028,2362.160468,2405.305586,2405.170597,2650.329957,2650.542491,1.6574561743152616
1333.153009,1335.215429,1905.732554,1919.886204,1932.772407,2200.628521,2234.098752,2583.038092,2622.46767,2702.458707,2716.12612,3064.466229,3159.189981,2.3078038810661927
