Set,R2,RMSE,RPD,Best_Params
Train,0.48568175057709495,2.105958858571853,1.3943892717927078,{'n_components': 3}
Test,0.31374366554575983,2.6033947857320636,1.2071377093166873,{'n_components': 3}
