variant,run,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
HHO,0,-0.11224067618253031,2.8061157627968862,1.9991310344866546,6,5.994606256484985
HHO,1,0.3533282978651072,2.3058942067283836,1.942594552389441,8,7.3952531814575195
HHO,2,0.41357686869044474,2.455424531210371,1.815399724075544,15,6.287896156311035
HHO,3,0.49770957913045644,1.8212508908976273,1.4771798157105795,14,5.591148853302002
HHO,4,0.11881970461161684,2.716165889505007,1.926110332291804,11,5.072551965713501
HHO,5,0.2574471469195706,2.743044189919409,2.127664546977042,6,5.927556276321411
HHO,6,0.04797503045421381,3.094692704155135,2.3291769251082135,2,5.115372180938721
HHO,7,0.3610083201492176,2.0909362495388844,1.8796982393298964,2,4.267654180526733
HHO,8,0.3716902383063504,2.1019426153982788,1.7110625429199413,5,5.956855058670044
HHO,9,0.11572549000269872,2.6953067607317505,2.1885110870832865,13,6.293987035751343
HHO,10,0.15044829307915997,2.8690059668005667,2.2166724761275174,8,5.500953197479248
HHO,11,0.08830664186661441,2.9773908129388453,1.9929719108106383,40,6.645004749298096
HHO,12,0.3863400581521197,2.473029413543238,2.059695938745389,15,6.2831549644470215
HHO,13,0.46499735067106673,2.1662678259739545,1.8268497732931803,9,5.708878993988037
HHO,14,0.39778105935580255,2.5998581450055798,2.0364825560346365,1,4.119401216506958
HHO,15,0.37952929157357196,2.6071086798190626,1.9240259443592713,7,5.936834096908569
HHO,16,0.23492143263577558,2.789132772419105,2.0318440224840635,8,5.606332063674927
HHO,17,0.29424149491611395,2.5340343635102207,1.9760500844926114,5,5.779386281967163
HHO,18,0.15594493959965294,2.4624096735881427,2.091370836161021,12,5.669806957244873
HHO,19,-0.3143160746496023,3.0001016786392514,2.3738651441087453,11,5.097721099853516
MSHHO_I1,0,-0.3710368768481247,3.1155215853867815,2.2962930196570435,5,5.388874053955078
MSHHO_I1,1,0.4096463560087249,2.203198229265508,1.9239956191843102,5,5.444024085998535
MSHHO_I1,2,0.3701604735181786,2.5446965444507335,1.747865095950763,2,5.065328121185303
MSHHO_I1,3,-0.5193358632246601,3.167518965772468,2.332691005989246,22,6.6639368534088135
MSHHO_I1,4,0.43681301847966736,2.1714518613199565,1.699402485207462,36,6.446842908859253
MSHHO_I1,5,0.2070959363009256,2.8345194431154495,2.2176726710076657,11,6.404131889343262
MSHHO_I1,6,0.049781006147452955,3.0917560202291314,2.3478564253613112,5,5.516462802886963
MSHHO_I1,7,0.34565794858820564,2.115902276203334,1.8552872452289482,1,4.161271810531616
MSHHO_I1,8,0.09026481645056728,2.529248186606852,2.109700895709252,7,5.668609857559204
MSHHO_I1,9,0.3113904712157036,2.3784890783684194,2.004352218369773,15,5.704931974411011
MSHHO_I1,10,0.1470076223309349,2.8748098103792503,2.184382832898732,14,5.85550594329834
MSHHO_I1,11,0.044659758089801826,3.0478282103082717,2.023567906679417,19,6.018110036849976
MSHHO_I1,12,0.3421022137801233,2.5606168970770886,2.1384147275432706,5,5.242221117019653
MSHHO_I1,13,0.47367060692039453,2.14863672833592,1.6962811861784077,5,6.194380044937134
MSHHO_I1,14,0.419763678753567,2.551966109535635,1.978872819179605,1,4.099740266799927
MSHHO_I1,15,0.3334083890077939,2.702267981943145,1.9966938880101626,2,4.845271110534668
MSHHO_I1,16,0.10236829688608418,3.0211011217009958,1.8919303893903485,28,6.037424087524414
MSHHO_I1,17,0.2599287067982682,2.5949035428669167,2.174232947297119,1,4.232595920562744
MSHHO_I1,18,0.15821481424223283,2.459096427570076,2.0869500506802567,12,5.652282953262329
MSHHO_I1,19,0.4399838592731371,1.9583320714535346,1.5975928438369604,17,6.2755773067474365
MSHHO_I2,0,-0.017134580926153165,2.68346173231779,1.9250481618939486,12,5.69351601600647
MSHHO_I2,1,0.36320846371839466,2.2882111155212885,1.9526198392175953,2,4.582063913345337
MSHHO_I2,2,-0.19320481531434708,3.5025032163092296,2.6247467309146684,24,6.181390047073364
MSHHO_I2,3,0.49919421967877275,1.8185573258040924,1.4820705400948693,13,6.183933734893799
MSHHO_I2,4,0.43337912348686936,2.1780617496283208,1.706247075413998,31,6.349505662918091
MSHHO_I2,5,0.05754792536129405,3.0902865799910977,2.4492257432053846,5,5.395223140716553
MSHHO_I2,6,0.05419700536792449,3.084563419356061,2.3270122743014636,2,4.476852893829346
MSHHO_I2,7,0.29710931749148184,2.1929921815686,1.7106301159822357,6,6.143437147140503
