variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,30,0.5251,0.0634,2.0193,0.1346,0.3136,0.0395,2.6026,0.0742,4.6,2.0,6.1,0
+SCI+SDGE,30,0.5368,0.0439,1.9965,0.0936,0.3146,0.0493,2.6001,0.0928,4.8,2.1,6.0,0
