variant,band,count,frequency
HHO,b14,1,1.0
HHO,b19,1,1.0
HHO,b75,1,1.0
HHO,b131,1,1.0
HHO,b140,1,1.0
MSHHO_I1,b27,1,1.0
MSHHO_I1,b45,1,1.0
MSHHO_I1,b63,1,1.0
MSHHO_I1,b78,1,1.0
MSHHO_I1,b109,1,1.0
MSHHO_I1,b120,1,1.0
MSHHO_I1,b122,1,1.0
MSHHO_I1,b148,1,1.0
MSHHO_I1,b161,1,1.0
MSHHO_I2,b16,1,1.0
MSHHO_I2,b27,1,1.0
MSHHO_I2,b33,1,1.0
MSHHO_I2,b59,1,1.0
MSHHO_I2,b68,1,1.0
MSHHO_I2,b88,1,1.0
MSHHO_I2,b102,1,1.0
MSHHO_I2,b103,1,1.0
MSHHO_I3,b27,1,1.0
MSHHO,b17,1,1.0
MSHHO,b29,1,1.0
MSHHO,b75,1,1.0
MSHHO,b99,1,1.0
MSHHO,b123,1,1.0
MSHHO,b140,1,1.0
