variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
HHO,0,0.6199994500498156,1.9369503039448612,1.4659672346349588,-0.16318371152716749,2.869659393881814,2.276575270127552,3,5.180269241333008
HHO,1,0.3843674090019069,2.4002727754479074,1.9676219544302926,0.4192252971131877,2.1852508376108317,1.6958307086700561,13,5.651796102523804
HHO,2,0.39568872851141645,2.262829327240084,1.8734307306724471,0.41141752467233217,2.4599410944770654,1.7149993173100373,1,4.096216917037964
HHO,3,0.3902291413492236,2.4683843652467523,1.9929174126925162,0.5292898477076542,1.7630681987382635,1.5029063351534877,8,5.720067024230957
HHO,4,0.40405201039337857,2.3502831434978417,1.839600863675592,0.4299908358967248,2.184564245528837,1.7372991175275192,11,5.716427803039551
HHO,5,0.46261057322668164,2.138696283311913,1.6798217395166013,0.2205272575430025,2.8104093713088365,2.1876924681207908,11,5.447705984115601
HHO,6,0.5283200942677957,2.009837492925353,1.5609371496092592,0.09786351637625013,3.0125168504498783,2.269819186999668,4,4.909274101257324
HHO,7,0.39911968350793414,2.4370614282796317,1.916337659081467,0.35246669038807776,2.1048650018334376,1.8845405369737067,3,5.069198846817017
HHO,8,0.42695418997389656,2.372748501149078,1.920879176247084,0.3585725745385403,2.1237711370284873,1.692857532458805,8,5.7064049243927
HHO,9,0.5830825345663735,1.9744101190035899,1.5381158355351157,-0.07300992854084853,2.9690432074341007,2.567822045171389,6,5.416661977767944
HHO,10,0.44421807043298545,2.2034577280209304,1.7219497552060345,0.32988219552551545,2.548074499309482,2.0210482378143944,2,4.328542232513428
HHO,11,0.595069457283174,1.8780632820892607,1.5088372441539208,0.07600128380401594,2.9974167676231493,2.0255078090390235,29,6.287843704223633
HHO,12,0.3555274716368987,2.3530091612601685,1.785554034646682,0.3745211755509561,2.496730692520117,2.072214434363911,9,5.6475677490234375
HHO,13,0.33566024755268264,2.459500510033927,1.9834146327092281,0.4456141386215391,2.2051607616344273,1.849123944195036,17,6.125774145126343
HHO,14,0.5024243309105292,2.0015262959962903,1.504820055468415,0.2141085162700196,2.969981460931923,2.1849171711284945,8,5.615931749343872
HHO,15,0.5251269690296179,1.9689029028256786,1.5528192956662337,0.313176307456828,2.7429704415220426,1.9120209414372709,6,5.454013109207153
HHO,16,0.5899712190996468,1.8666107808595356,1.4335254640364505,0.037127983885851146,3.128963184219527,1.9622331995433828,11,5.841398000717163
HHO,17,0.46228911996036604,2.1999464923203114,1.6998282504084552,0.2111064873507129,2.679129041201454,2.253146220465894,7,5.1897149085998535
HHO,18,0.6147457266433953,1.9355863388491583,1.6130145748292122,0.156778691033986,2.461193197946882,1.8766996436262866,8,5.985080003738403
HHO,19,0.40753199908086124,2.432701627094751,1.9512968704818043,0.4290276543806346,1.9773957723102542,1.616415388536169,14,5.768988132476807
HHO,20,0.3357304835083541,2.395938000942778,1.9459710492398936,0.3818360320857902,2.461341733300915,1.8364318668722373,4,4.643761873245239
HHO,21,0.3270357856727496,2.470776996741904,1.9751535809102292,0.5051304086797099,2.1031238240361088,1.7492493057847052,40,6.8420960903167725
HHO,22,0.39364544794299217,2.2151551969508065,1.7810768905697607,0.42120399998380176,2.538527602452185,1.9674286802543384,31,6.068542957305908
HHO,23,0.4995056764893885,2.082026678452054,1.5498875578126605,0.3791947510022522,2.4551088974990134,1.9808717650619247,4,5.27105188369751
HHO,24,0.5531068811559442,2.088950710059702,1.5407318212337102,0.0351810325512546,2.6467650267364755,2.0813211688687043,17,6.223030090332031
HHO,25,0.6803751628004981,1.707612790169278,1.2957547476285973,-0.5446737206890511,3.6890734441848068,3.023321089944832,8,5.914613962173462
HHO,26,0.29633952681645825,2.538686801518826,1.9791193622796364,0.5222310783685682,2.044124268576966,1.7396159862967577,2,4.497674942016602
HHO,27,0.5332645062009891,2.059509336205118,1.6226066350451964,0.29567186949241386,2.502542075862576,1.9709532679993254,3,5.074541091918945
HHO,28,0.4275130533540563,2.196832358444296,1.7179562497271474,0.2925662582287486,2.701860189619667,2.1065656850722556,11,5.990174055099487
HHO,29,0.5424346907256679,2.1239118479927654,1.6169756763563619,0.010709246678766715,2.6210816598529836,2.1127923967959084,10,5.941198110580444
MSHHO_I1,0,0.5133142461927169,2.1920511433375096,1.6840775360579634,0.14028992536039386,2.4670741598208346,1.800921196574242,12,5.620951175689697
MSHHO_I1,1,0.41785273464187045,2.3340826408352777,1.891074976255465,0.3483898761229043,2.3146821435201725,1.9324786141884234,12,5.880465745925903
MSHHO_I1,2,0.3879869765098716,2.2772031891930107,1.8771516868364109,0.4175184310227066,2.4471587194647646,1.695107110821232,1,3.9227283000946045
MSHHO_I1,3,0.4910374644460629,2.255134047764742,1.8079550618442646,0.25489164190032076,2.2182068740936254,1.7460003102435122,8,6.169661045074463
MSHHO_I1,4,0.4278564580483538,2.3028651439276735,1.7310352128573072,0.41046580819677225,2.221664121803379,1.5434773122564036,6,5.890286922454834
MSHHO_I1,5,0.43579193174370834,2.1914128411942317,1.7070408564418105,0.20551227647609693,2.8373487106076047,2.2272653164807066,8,5.924236059188843
MSHHO_I1,6,0.5071496511242388,2.054446282328119,1.6369234927786926,0.08507444406788123,3.033795066685914,2.2802299079791966,1,4.236037254333496
MSHHO_I1,7,0.4594262078286888,2.3115323753448553,1.7586168078817248,0.3573467687655991,2.0969184355066646,1.7045494591076686,3,5.597005128860474
MSHHO_I1,8,0.4264405233051962,2.3738117048161773,1.8385214738210776,0.45979807027645625,1.9490007998098655,1.5684476707313062,2,4.711827993392944
MSHHO_I1,9,0.5316242848958539,2.0927122103216593,1.5211014636301483,0.1284395703306106,2.675860074647832,2.1743927364591618,4,5.507181167602539
MSHHO_I1,10,0.6686181639319628,1.701440875411992,1.337641664417575,0.11374194405929028,2.930330740105453,2.0561785952114695,7,5.446751594543457
MSHHO_I1,11,0.613737336180558,1.8342617920706559,1.4763151814729523,-0.0002556622473799397,3.118652300158568,1.989883694529925,21,6.2380077838897705
MSHHO_I1,12,0.3415813760908807,2.378331930911062,1.8070931678345032,0.34864176819056936,2.5478587495665463,2.1190422652675167,9,5.9514758586883545
MSHHO_I1,13,0.5001669902374559,2.133360569809227,1.6116843461008776,0.22312865287815997,2.6104100640015644,2.092693524206614,5,6.157313823699951
MSHHO_I1,14,0.6028731034949131,1.788118857652205,1.4643260052482372,0.18367729496619523,3.0269370215673104,2.399246059063105,5,5.227458953857422
MSHHO_I1,15,0.48030054103123854,2.0597365647741377,1.6457859429925987,0.35929991752940094,2.649267937663326,1.8563628706958908,5,5.245595693588257
MSHHO_I1,16,0.6035300912733831,1.8354886961919776,1.4240052930640985,0.25090042903229226,2.759852963932991,1.9361911394231837,16,5.656940937042236
MSHHO_I1,17,0.48400025925015555,2.155075291329272,1.5944376767227095,0.245449137025885,2.6201653541852328,2.198331378030307,2,4.300184965133667
MSHHO_I1,18,0.46281654214386914,2.285599493308612,1.8065221381055179,0.08992096908881786,2.5569043004374423,2.0855188791470742,1,4.330809831619263
