variant,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Train_MAE_mean,Train_MAE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,Test_MAE_mean,Test_MAE_std,n_feat_mean,n_feat_std,time_mean_sec
HHO,0.4672,0.1013,2.1843,0.2213,1.7179,0.2004,0.249,0.2357,2.5485,0.4096,1.9957,0.3017,10.3,9.0,5.5
MSHHO_I1,0.4874,0.0956,2.1428,0.2158,1.6735,0.1827,0.2297,0.1967,2.5849,0.3342,1.9901,0.2348,9.4,11.1,5.5
MSHHO_I2,0.4812,0.123,2.149,0.271,1.6806,0.2315,0.2525,0.2106,2.5423,0.3604,1.9846,0.2498,8.2,6.1,5.4
MSHHO_I3,0.4708,0.1428,2.1621,0.3304,1.7032,0.277,0.2244,0.2078,2.5964,0.3836,2.0347,0.2821,10.9,15.8,5.2
MSHHO,0.47,0.1556,2.1654,0.3449,1.7075,0.3009,0.2187,0.2653,2.5887,0.4005,2.0272,0.3057,11.1,15.4,5.4
