b24,b30,b33,b65,b73,b78,b86,b91,b99,b105,b106,b142,TS
925.5065621,1253.06178,1293.257362,2083.815461,2223.857554,2375.49904,2562.556818,2562.490397,2710.246159,2717.131882,2711.728553,3017.650608,8.875
656.80978,896.1596772,920.0427283,1594.172654,1767.100332,1832.512898,2040.801709,2133.595664,2322.00633,2358.733819,2363.963127,2979.828454,1.65
665.1171575,912.5054417,932.3660371,1478.542734,1620.432618,1740.326665,1894.587388,1927.709987,2084.866517,2152.572983,2141.818502,2724.09235,1.45
879.5112036,1200.414533,1226.702145,1919.75064,2083.817061,2168.467029,2302.255762,2363.109475,2458.721031,2517.0637,2513.84267,2887.387324,8.2
536.9366883,747.7456169,768.5180195,1371.868506,1539.489448,1649.28961,1822.742532,1929.493344,2101.468506,2177.930357,2179.863474,2737.782305,3.875
713.8795696,975.4037031,994.0235797,1613.670676,1777.358759,1927.312391,2076.263016,2104.037348,2278.394208,2400.906156,2385.446748,2937.581263,2.1
1321.413092,1676.170775,1691.489757,2449.994078,2578.116517,2664.337708,2710.12404,2750.423335,2829.435019,2847.274328,2836.439821,2966.518886,11.8
614.1930218,844.0192061,864.3509923,1497.355954,1633.059539,1764.290493,1980.207266,1991.172055,2184.865877,2214.201184,2221.825544,2844.857875,2.4
869.0914702,1188.489634,1223.447381,2021.989239,2256.415889,2403.748536,2629.289761,2694.02532,2840.141636,2925.766893,2919.839057,3422.519702,8.725
555.4620984,787.6635544,798.5016617,1402.772432,1571.185156,1674.81611,1844.619085,1941.44295,2058.687609,2142.165374,2126.267289,2741.564172,1.775
607.7327145,836.7488796,861.824904,1495.419174,1651.667734,1739.403809,1922.159731,1994.864117,2158.440461,2215.677657,2207.169494,2682.435659,4.475
690.984966,940.5945561,949.3082766,1538.708656,1687.802184,1801.480772,1956.478082,2010.697579,2161.206678,2223.176135,2227.524767,2790.136097,3.9
718.6630796,987.9950942,1013.583795,1733.305586,1887.444532,2014.024371,2216.832568,2267.333281,2433.318405,2486.637759,2483.401171,3078.035923,2.175
1033.929103,1327.118531,1306.591233,1957.43029,2116.430606,2177.814686,2299.235322,2300.029435,2369.160943,2405.101282,2401.372053,2592.462415,4.95
1016.756402,1335.215429,1342.527849,2038.264725,2234.462388,2289.18662,2446.994718,2518.454065,2643.488956,2728.830346,2734.670294,3127.529449,9.0
1393.508507,1755.445746,1780.333387,2663.097753,2759.173194,2849.494061,2867.226485,2853.400482,2935.98122,2922.948957,2910.033868,2878.509952,5.775
588.4886364,819.3081169,838.2061688,1428.516721,1616.359253,1689.955195,1877.223214,1965.588799,2076.139123,2135.671266,2141.616071,2656.01461,1.9
727.3004161,975.7620038,1020.93662,1706.640365,1888.441421,1987.7508,2201.394846,2256.704225,2436.319302,2518.570583,2522.051697,3187.819782,1.675
739.3273047,1023.597151,1039.393246,1823.609795,2041.175256,2178.739277,2415.695423,2521.865557,2677.602913,2780.845711,2791.049296,3406.113796,4.125
844.0704225,1149.483195,1173.447343,1825.412772,1997.403329,2084.099072,2276.055378,2291.016485,2358.297695,2452.410051,2453.369878,2861.420935,4.225
643.7048656,874.4580666,920.634443,1569.709827,1792.134283,1882.332266,2101.110115,2216.310179,2373.955346,2475.109475,2480.40685,3284.028809,1.65
885.8015365,1159.515845,1163.617638,1713.646127,1873.807778,1960.385403,2049.911332,2072.337548,2148.419334,2162.103873,2154.784251,2528.058579,10.2
924.5997119,1218.090909,1264.829065,2041.985115,2240.358995,2333.059699,2498.586268,2578.684699,2748.597311,2821.263924,2819.422535,3330.169334,6.825
1139.827979,1490.008862,1503.813262,2281.185789,2405.507201,2487.31065,2550.713879,2587.311758,2685.495806,2705.653584,2703.160468,2886.727963,8.55
1055.539853,1370.491997,1410.296575,2136.169814,2264.197503,2331.190141,2451.353873,2438.366197,2523.488956,2534.482875,2523.899008,2630.476953,8.225
613.1330907,845.6751068,870.8455452,1442.6069,1589.181041,1671.24181,1843.695838,1937.880677,2072.419845,2124.596772,2121.70739,2642.305428,2.3
642.4584586,886.3763254,910.4162051,1632.416205,1797.200981,1937.901408,2145.609748,2210.718785,2420.60595,2497.145593,2498.149074,3062.038297,2.175
695.8447539,942.3927837,986.8746637,1588.790631,1728.99003,1841.739199,2007.146384,2054.736509,2196.234689,2229.6721,2221.804241,2799.094952,4.625
1030.337881,1333.817978,1362.513162,2117.244783,2268.905457,2355.17496,2487.701926,2515.578812,2662.84077,2687.254093,2667.586356,3038.391974,6.45
1662.587435,2007.313974,2007.408134,2761.271562,2883.910112,2939.997784,3022.191486,2991.097167,2965.516854,2906.215382,2896.54344,3092.013451,6.05
831.693662,1140.860275,1160.998239,1844.826344,1999.845871,2039.825224,2174.982234,2218.108835,2253.770487,2248.53153,2240.18838,2493.832907,4.525
754.837949,1031.65485,1057.402437,1709.626681,1861.338186,1985.57699,2111.572559,2142.777022,2292.180567,2363.287387,2360.927995,2764.237221,3.475
715.5967716,960.74094,987.0307011,1591.15493,1776.985282,1889.541067,2053.247033,2108.078968,2259.483463,2353.109353,2358.611489,2936.384238,3.275
1084.743598,1417.262964,1458.556338,2359.490557,2483.639885,2598.704225,2686.447663,2754.991357,2868.065941,2875.551056,2863.394206,3048.914693,11.2
810.6523184,1097.100649,1110.659915,1741.592974,1929.13404,2054.750119,2216.978794,2213.771483,2334.243709,2445.983067,2442.350214,2941.830511,1.625
705.3583547,962.3903649,1009.888764,1635.932778,1780.324584,1917.007522,2101.463508,2150.268246,2302.119238,2362.182298,2363.8137,2870.34507,2.25
1559.341071,1928.768669,1970.92013,2828.23263,3008.444156,3032.166071,3053.046753,3099.330195,3123.598377,3118.081818,3100.946429,3169.254058,6.45
821.2485595,1102.901729,1131.713348,1915.464629,2060.932458,2177.341709,2349.306658,2411.483515,2575.960147,2621.450224,2622.930218,3047.261364,2.125
1940.50112,2262.126921,2270.557458,3093.194302,3279.334187,3253.994558,3298.464949,3319.212708,3308.940301,3339.073944,3326.464149,3263.642606,7.575
792.0461039,1081.921266,1126.091558,1851.185065,1992.593506,2115.775325,2303.594968,2343.514123,2539.776299,2587.668669,2590.186688,3058.259091,3.0
696.5771447,960.8122599,978.2525608,1600.431818,1772.548816,1898.671895,2096.46927,2130.855154,2292.427977,2397.998239,2394.463028,3050.754641,4.825
641.9547397,892.096376,909.5833201,1588.953632,1795.042095,1861.562906,2056.276943,2180.045102,2360.51179,2405.842064,2405.571451,2994.369837,4.35
743.9414464,1009.970565,1035.210476,1676.721475,1866.244342,2016.708182,2223.559107,2241.146542,2371.395157,2483.747745,2479.925305,3109.344833,2.15
1124.02263,1449.362716,1489.107612,2268.3116,2438.929103,2523.977528,2674.454028,2725.697737,2840.067574,2887.188479,2873.99636,3149.24007,8.125
609.990557,848.3353073,849.831306,1427.481114,1613.511044,1739.912132,1920.970391,1976.458547,2120.570262,2201.074904,2211.713988,2783.449584,1.475
1341.986236,1720.854033,1737.915173,2622.454706,2730.825864,2783.240237,2841.891485,2843.986076,2911.462708,2923.634763,2898.119398,2883.026248,8.375
657.8533931,923.3927657,940.2824904,1577.802817,1802.769526,1929.512004,2114.93854,2174.067222,2298.760243,2466.254481,2445.289853,3095.180058,1.325
