variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,3,0.5128,0.076,2.0454,0.1605,0.2735,0.0387,2.6779,0.0718,4.7,2.9,0.2,0
SSAHHO,3,0.4612,0.0662,2.1527,0.135,0.2592,0.0869,2.7019,0.1562,3.0,0.0,0.2,0
