b25,b30,b33,b59,b62,b70,b97,b99,b127,b136,b138,b139,TS
948.346991,1253.06178,1293.257362,1904.703105,1985.685179,2183.683579,2693.334507,2710.246159,3020.837708,3164.052497,3044.341069,3043.721031,8.875
669.5459725,896.1596772,920.0427283,1446.081025,1519.984175,1698.830669,2287.9185,2322.00633,2846.843963,2931.966767,2861.595664,2898.688084,1.65
679.1341229,912.5054417,932.3660371,1381.783771,1433.823143,1595.354353,2069.458067,2084.866517,2559.042093,2636.946223,2573.977593,2590.03185,1.45
912.4242958,1200.414533,1226.702145,1789.403649,1858.977913,2001.399968,2438.304577,2458.721031,2830.370679,2855.631882,2763.824744,2806.956146,8.2
555.9199675,747.7456169,768.5180195,1243.686039,1305.922727,1496.166558,2069.237013,2101.468506,2610.828896,2671.97289,2574.922403,2617.980195,3.875
727.06884,975.4037031,994.0235797,1526.641399,1573.896344,1757.919608,2256.945878,2278.394208,2774.658332,2878.794429,2784.385029,2809.776863,2.1
1353.851152,1676.170775,1691.489757,2317.893246,2379.206466,2535.15525,2823.439501,2829.435019,2999.679738,2941.717029,2816.157971,2846.056818,11.8
622.7597631,844.0192061,864.3509923,1334.471511,1407.212868,1583.541613,2156.733675,2184.865877,2699.645006,2912.431178,2798.330986,2800.516805,2.4
880.9393891,1188.489634,1223.447381,1861.417788,1956.152872,2185.358759,2827.612439,2840.141636,3311.475075,3416.005855,3290.13863,3331.732869,8.725
571.8887482,787.6635544,798.5016617,1245.580313,1319.890647,1513.363349,2059.794429,2058.687609,2612.689191,2680.359867,2673.976579,2705.274094,1.775
623.112516,836.7488796,861.824904,1357.536492,1424.680698,1576.602433,2134.302337,2158.440461,2592.536812,2706.172215,2617.617157,2644.623079,4.475
710.0889381,940.5945561,949.3082766,1414.623675,1474.911537,1633.496281,2131.032125,2161.206678,2635.919133,2817.83605,2691.379174,2693.535211,3.9
732.6815952,987.9950942,1013.583795,1578.05982,1654.392942,1839.709289,2425.739041,2433.318405,2968.672258,3103.053331,3009.489318,3044.468112,2.175
1055.278525,1327.118531,1306.591233,1858.252572,1922.644248,2059.294034,2346.513056,2369.160943,2650.329957,2729.896186,2652.680013,2671.524292,4.95
1045.606594,1335.215429,1342.527849,1919.886204,1982.584507,2175.904449,2603.243598,2643.488956,3064.466229,3203.172215,3135.681498,3158.339629,9.0
1406.439968,1755.445746,1780.333387,2524.055538,2601.087319,2727.564526,2935.925843,2935.98122,3011.880417,2925.777849,2793.708828,2819.156661,5.775
604.4519481,819.3081169,838.2061688,1290.60276,1349.58961,1530.90974,2054.857143,2076.139123,2582.50487,2641.861688,2542.688799,2560.873701,1.9
749.3476312,975.7620038,1020.93662,1574.550576,1653.376921,1840.761044,2418.944142,2436.319302,2989.456786,3060.588988,3000.995198,3058.106434,1.675
755.93758,1023.597151,1039.393246,1663.356274,1739.987516,1982.084507,2666.953585,2677.602913,3250.507362,3470.007362,3344.271927,3366.541613,4.125
860.0641805,1149.483195,1173.447343,1694.431018,1744.246959,1914.555378,2354.383483,2358.297695,2780.385563,2842.27977,2769.048335,2794.845551,4.225
659.3799616,874.4580666,920.634443,1434.919334,1494.806178,1701.861556,2338.333707,2373.955346,2975.915813,3196.886524,3115.763924,3156.984795,1.65
892.9271767,1159.515845,1163.617638,1606.372439,1678.431018,1813.495999,2121.75096,2148.419334,2467.349072,2499.25048,2399.377401,2425.803457,10.2
941.3385083,1218.090909,1264.829065,1866.145967,1956.896767,2133.606274,2706.102753,2748.597311,3194.548175,3318.333867,3224.237036,3237.887804,6.825
1175.183257,1490.008862,1503.813262,2145.395157,2211.19022,2368.871973,2664.21016,2685.495806,2904.216173,2899.636018,2734.554202,2762.73366,8.55
1091.460467,1370.491997,1410.296575,2035.042254,2099.667894,2252.330026,2514.098271,2523.488956,2703.814981,2587.303457,2492.739437,2532.054417,8.225
635.6470961,845.6751068,870.8455452,1319.465263,1379.777022,1546.947618,2023.292293,2072.419845,2522.85868,2647.906473,2590.643614,2608.677797,2.3
653.645197,886.3763254,910.4162051,1483.720525,1559.919766,1749.003007,2410.866593,2420.60595,2933.434246,3089.313182,3008.707074,3052.474284,2.175
705.2620668,942.3927837,986.8746637,1443.900617,1525.045893,1701.413357,2177.087514,2196.234689,2681.189429,2732.492958,2660.422693,2704.212059,4.625
1049.360353,1333.817978,1362.513162,1956.984751,2028.094061,2187.758748,2655.109149,2662.84077,2969.164205,3108.76549,3062.135795,3100.245586,6.45
1698.875455,2007.313974,2007.408134,2641.267131,2719.443741,2808.75724,2944.867701,2965.516854,3076.467479,3066.031176,2950.923406,2967.39674,6.05
858.4444622,1140.860275,1160.998239,1712.264085,1785.991837,1936.076344,2255.440461,2253.770487,2532.253681,2467.059539,2363.564821,2395.795134,4.525
