epoch,fitness
0,0.6268794921157399
1,0.6268794921157399
2,0.6268794921157399
3,0.6180871566682558
4,0.5572754290044595
5,0.5572754290044595
6,0.553225908847969
7,0.553225908847969
8,0.5303590149468053
9,0.5303590149468053
10,0.5303590149468053
11,0.5265610190023631
12,0.5265610190023631
13,0.5265610190023631
14,0.5265610190023631
15,0.5233952813676338
16,0.5233952813676338
17,0.5233952813676338
18,0.5233952813676338
19,0.5233952813676338
20,0.5233952813676338
21,0.5233952813676338
22,0.5233952813676338
23,0.5233952813676338
24,0.5233952813676338
25,0.5233952813676338
26,0.5233952813676338
27,0.5233952813676338
28,0.5233952813676338
29,0.5233952813676338
30,0.5233952813676338
31,0.5233952813676338
32,0.5233952813676338
33,0.5233952813676338
34,0.5233952813676338
35,0.5233952813676338
36,0.5233952813676338
37,0.5233952813676338
38,0.5233952813676338
39,0.5233952813676338
40,0.5233952813676338
41,0.5233952813676338
42,0.5233952813676338
43,0.5233952813676338
44,0.5233952813676338
45,0.5233952813676338
46,0.5233952813676338
47,0.5233952813676338
48,0.5233952813676338
49,0.5233952813676338
50,0.5233952813676338
51,0.5233952813676338
52,0.5233952813676338
53,0.5233952813676338
54,0.5233952813676338
55,0.5233952813676338
56,0.5233952813676338
57,0.5233952813676338
58,0.5233952813676338
59,0.5233952813676338
60,0.5233952813676338
61,0.5233952813676338
62,0.5233952813676338
63,0.5233952813676338
64,0.5233952813676338
65,0.5233952813676338
66,0.5233952813676338
67,0.5233952813676338
68,0.5233952813676338
69,0.5233952813676338
70,0.5233952813676338
71,0.5233952813676338
72,0.5233952813676338
73,0.5233952813676338
74,0.5233952813676338
75,0.5233952813676338
76,0.5233952813676338
77,0.5233952813676338
78,0.5233952813676338
79,0.5233952813676338
80,0.5233952813676338
81,0.5233952813676338
82,0.5233952813676338
83,0.5233952813676338
84,0.5233952813676338
85,0.5233952813676338
86,0.5233952813676338
87,0.5233952813676338
88,0.5233952813676338
89,0.5233952813676338
90,0.5233952813676338
91,0.5233952813676338
92,0.5233952813676338
93,0.5233952813676338
94,0.5233952813676338
95,0.5233952813676338
96,0.5233952813676338
97,0.5233952813676338
98,0.5233952813676338
99,0.5233952813676338
100,0.5233952813676338
101,0.5233952813676338
102,0.5233952813676338
103,0.5233952813676338
104,0.5233952813676338
105,0.5233952813676338
106,0.5233952813676338
107,0.5233952813676338
108,0.5233952813676338
109,0.5233952813676338
110,0.5233952813676338
111,0.5233952813676338
112,0.5233952813676338
113,0.5233952813676338
114,0.5233952813676338
115,0.5233952813676338
116,0.5233952813676338
117,0.5233952813676338
118,0.5233952813676338
119,0.5233952813676338
