variant,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Train_MAE_mean,Train_MAE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,Test_MAE_mean,Test_MAE_std,n_feat_mean,n_feat_std,time_mean_sec
HHO,0.5967,0.0678,1.8581,0.1614,1.4744,0.1439,0.2921,0.0891,2.6389,0.1676,1.858,0.1879,4.4,4.2,38.8
MSHHO_I1,0.6178,0.0665,1.8084,0.162,1.4379,0.1361,0.3189,0.0881,2.5883,0.1663,1.8272,0.1739,5.7,3.8,43.1
MSHHO_I2,0.6107,0.0578,1.8272,0.138,1.444,0.1186,0.3172,0.0823,2.5921,0.1588,1.8354,0.172,5.6,3.5,43.0
MSHHO_I3,0.6148,0.0872,1.811,0.2082,1.419,0.1668,0.2864,0.0974,2.6489,0.1778,1.8678,0.193,5.9,4.3,42.2
MSHHO,0.6148,0.0814,1.8117,0.1998,1.4263,0.1704,0.2872,0.0981,2.6471,0.1824,1.8641,0.1961,5.5,4.4,42.9
