variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,selected_features,elapsed_sec
HHO,0,0.6005965475628485,1.855836972854391,1.4902282309378452,0.2360751984416265,2.7467690966929506,1.9056775870203133,3,b26;b47;b150,40.84339904785156
HHO,1,0.6176338331851476,1.815823548949393,1.477319279776348,0.09057016750673275,2.996963445539183,2.4183953886398952,6,b15;b19;b57;b68;b101;b122,46.80291509628296
HHO,2,0.5883897900765777,1.8839830224101974,1.4984586986214679,0.24412944437758388,2.7322507987626192,1.7964054613401532,3,b27;b47;b69,38.48036313056946
HHO,3,0.5523807559919016,1.9646640125870707,1.6135682607209696,0.33129143974840447,2.569894464526972,1.6518384404019908,1,b27,32.59259581565857
HHO,4,0.7122163814677742,1.57531333714097,1.2796840067578474,0.34884858337159874,2.5359333926881633,1.950977399435745,9,b17;b59;b68;b76;b103;b109;b150;b160;b162,44.926491022109985
HHO,5,0.5010237795351653,2.0743108545315274,1.698730049580003,0.4448249274655939,2.3415952398416953,1.714266696608298,1,b109,33.093910932540894
HHO,6,0.7425485142084643,1.4899840406588796,1.1436104485990417,0.2615560380649421,2.7005711227993623,1.8687434715789333,13,b19;b28;b59;b62;b68;b76;b80;b84;b95;b99;b108;b110;b135,44.94552493095398
HHO,7,0.46824559076628214,2.141358911957356,1.6948100508798067,0.30229491671531183,2.6250210547494546,1.9891152581170568,2,b19;b74,36.84573006629944
HHO,8,0.6592125345928554,1.7142561714917608,1.2882147679348945,0.21807300895798076,2.7789449900603014,2.0042427814812562,8,b14;b29;b32;b67;b82;b110;b128;b149,45.214684009552
HHO,9,0.5698847672072953,1.9258671582295184,1.52931770861772,0.2346140820453475,2.749394637951322,2.110104334219988,4,b18;b69;b70;b128,40.75300192832947
HHO,10,0.5489729466113513,1.972128510443448,1.5918446867139016,0.3474052454767872,2.538742403478295,1.6340034289435914,1,b26,32.83050298690796
HHO,11,0.732602106353976,1.5184933920107473,1.213007008450979,0.286747468685556,2.654107494879457,1.8958626592347592,24,b16;b19;b33;b37;b40;b47;b61;b65;b68;b69;b73;b82;b84;b87;b89;b90;b107;b109;b110;b135;b150;b156;b160;b161,48.9347767829895
HHO,12,0.5096117040461259,2.0563828042683285,1.6493082161073092,0.4571591828699386,2.3154376741382157,1.6904791665002366,2,b53;b109,38.549174070358276
HHO,13,0.7075649122124494,1.5879932625313549,1.2452276440907182,0.2906258619001201,2.64688165025916,1.9995892600816865,9,b15;b33;b68;b91;b102;b108;b143;b145;b159,44.96579194068909
HHO,14,0.5757584916312484,1.9126719749998369,1.5383159358310632,0.30147364343106875,2.6265655652227267,1.7632395204812337,2,b27;b46,35.14407992362976
HHO,15,0.673614414464774,1.6776424263239418,1.2638988542119176,0.20182491546502912,2.807669156053102,1.9517494802712416,7,b15;b62;b68;b71;b109;b119;b139,42.97997283935547
HHO,16,0.6559697070698084,1.7223930246464467,1.356814135367653,0.20374579102440582,2.804288674838609,1.9637802834732132,6,b26;b34;b62;b68;b80;b129,39.11434197425842
HHO,17,0.5704277913056182,1.9246510625344067,1.5672804976256711,0.3737597654361018,2.486951586251189,1.6668056295274742,3,b16;b27;b150,39.72177219390869
HHO,18,0.5149256064319581,2.045210859767373,1.5653940032326,0.29222135612455646,2.643903347676249,2.0156851658062895,2,b18;b73,34.98358511924744
HHO,19,0.5489729466113513,1.972128510443448,1.5918446867139016,0.3474052454767872,2.538742403478295,1.6340034289435914,1,b26,31.357588291168213
