algo,n_runs,converge_rate,converge_epoch_mean,converge_epoch_std,final_fitness_mean,final_fitness_std,fitness_min,fitness_max
HHO,5,1.0,22.8,1.0,0.385457,0.038036,0.333412,0.451409
MSHHO,5,1.0,26.8,7.9,0.45302,0.004918,0.44902,0.459824
