variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,3,0.5128,0.076,2.0454,0.1605,0.2735,0.0387,2.6779,0.0718,4.7,2.9,0.2,0
+SCI,3,0.5046,0.0182,2.0667,0.0379,0.3972,0.0332,2.4394,0.0674,3.7,0.6,0.2,0
+SCI+SDGE,3,0.4716,0.0332,2.1338,0.0665,0.3545,0.0367,2.5242,0.072,3.7,1.2,0.2,0
+SCI+SDGE+RSC,3,0.4437,0.0338,2.1896,0.067,0.3149,0.0073,2.6012,0.0138,3.0,0.0,0.2,0
SSAHHO,3,0.4612,0.0662,2.1527,0.135,0.2592,0.0869,2.7019,0.1562,3.0,0.0,0.2,0
