variant,band,count,frequency
HHO,b17,1,1.0
HHO,b23,1,1.0
HHO,b31,1,1.0
HHO,b32,1,1.0
HHO,b51,1,1.0
HHO,b68,1,1.0
HHO,b94,1,1.0
MSHHO_I1,b17,1,1.0
MSHHO_I1,b27,1,1.0
MSHHO_I1,b32,1,1.0
MSHHO_I1,b61,1,1.0
MSHHO_I1,b62,1,1.0
MSHHO_I1,b69,1,1.0
MSHHO_I1,b76,1,1.0
MSHHO_I1,b94,1,1.0
MSHHO_I1,b105,1,1.0
MSHHO_I2,b27,1,1.0
MSHHO_I2,b81,1,1.0
MSHHO_I2,b90,1,1.0
MSHHO_I2,b153,1,1.0
MSHHO_I3,b28,1,1.0
MSHHO_I3,b48,1,1.0
MSHHO_I3,b58,1,1.0
MSHHO_I3,b62,1,1.0
MSHHO_I3,b65,1,1.0
MSHHO_I3,b68,1,1.0
MSHHO_I3,b79,1,1.0
MSHHO_I3,b81,1,1.0
MSHHO_I3,b87,1,1.0
MSHHO_I3,b88,1,1.0
MSHHO_I3,b92,1,1.0
MSHHO_I3,b108,1,1.0
MSHHO_I3,b130,1,1.0
MSHHO_I3,b131,1,1.0
MSHHO_I3,b134,1,1.0
MSHHO_I3,b139,1,1.0
MSHHO_I3,b149,1,1.0
MSHHO_I3,b154,1,1.0
MSHHO,b15,1,1.0
MSHHO,b27,1,1.0
MSHHO,b47,1,1.0
MSHHO,b49,1,1.0
MSHHO,b51,1,1.0
MSHHO,b54,1,1.0
MSHHO,b59,1,1.0
MSHHO,b62,1,1.0
MSHHO,b66,1,1.0
MSHHO,b68,1,1.0
MSHHO,b77,1,1.0
MSHHO,b81,1,1.0
MSHHO,b98,1,1.0
MSHHO,b103,1,1.0
MSHHO,b108,1,1.0
MSHHO,b120,1,1.0
MSHHO,b122,1,1.0
MSHHO,b131,1,1.0
MSHHO,b139,1,1.0
MSHHO,b142,1,1.0
MSHHO,b147,1,1.0
MSHHO,b148,1,1.0
MSHHO,b154,1,1.0
MSHHO,b155,1,1.0
MSHHO,b161,1,1.0
MSHHO,b162,1,1.0
