fusion_col,transform,band_name,wavelength
0,R,b49,542
28,R,b70,626
44,FD,b107,774
66,SNV,b97,734
75,SNV,b99,742
96,LOG,b52,554
99,LOG,b28,458
104,LOG,b34,482
