b99,b60,b135,TS
2710.246159,1927.34459,3224.974552,8.875
2322.00633,1473.691565,2978.937648,1.65
2084.866517,1401.019686,2678.823303,1.45
2458.721031,1815.544174,2911.962548,8.2
2101.468506,1266.465909,2723.083279,3.875
2278.394208,1538.86501,2941.385504,2.1
2829.435019,2342.516485,3014.276889,11.8
2184.865877,1355.020967,2968.198944,2.4
2840.141636,1896.055389,3471.395316,8.725
2058.687609,1265.385188,2724.72195,1.775
2158.440461,1381.770006,2763.018566,4.475
2161.206678,1431.381864,2859.538851,3.9
2433.318405,1608.252255,3144.902674,2.175
2369.160943,1877.053173,2778.663713,4.95
2643.488956,1932.772407,3236.888924,9.0
2935.98122,2548.288443,2996.757785,5.775
2076.139123,1305.186039,2694.887013,1.9
2436.319302,1611.473431,3113.735275,1.675
2677.602913,1680.854193,3520.036172,4.125
2358.297695,1714.838828,2906.013604,4.225
2373.955346,1450.246639,3218.461268,1.65
2148.419334,1623.501921,2572.163732,10.2
2748.597311,1893.795935,3370.654609,6.825
2685.495806,2161.5417,2967.949517,8.55
2523.488956,2059.790013,2649.368598,8.225
2072.419845,1342.48552,2678.540434,2.3
2420.60595,1513.052856,3134.898718,2.175
2196.234689,1476.729704,2787.594556,4.625
2662.84077,1992.398395,3161.751685,6.45
2965.516854,2695.649312,3150.031967,6.05
2253.770487,1734.115077,2523.668694,4.525
2292.180567,1597.60595,2789.925779,3.475
2259.483463,1493.208894,2949.979585,3.275
2868.065941,2197.398688,3221.068822,11.2
2334.243709,1667.125495,2930.350688,1.625
2302.119238,1507.691261,2904.650448,2.25
3123.598377,2711.132468,3264.064286,6.45
2575.960147,1785.654449,3175.075864,2.125
3308.940301,3017.524648,3469.481434,7.575
2539.776299,1722.002435,3123.434091,3.0
2292.427977,1490.752721,3046.829385,4.825
2360.51179,1449.845229,3048.923247,4.35
2371.395157,1602.391676,3143.885108,2.15
2840.067574,2153.155879,3303.338661,8.125
2120.570262,1317.508643,2892.879802,1.475
2911.462708,2508.74936,3060.632362,8.375
2298.760243,1475.028649,3085.954225,1.325
