param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.3302,0.0086,2.572,0.0165,1.0,0.0,2
0.15,0.2009,0.0937,2.8044,0.1649,3.0,2.0,2
0.3,0.3278,0.0054,2.5765,0.0104,1.0,0.0,2
0.5,0.2673,0.0767,2.6864,0.1411,1.0,0.0,2
