param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
20,0.3415,0.0138,2.5501,0.0267,3.5,0.5,2
50,0.3259,0.0024,2.5802,0.0047,1.0,0.0,2
100,0.0709,0.1113,3.0238,0.1818,7.0,0.0,2
250,0.1686,0.1424,2.855,0.2464,8.0,6.0,2
