param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
20,0.3291,0.0008,2.5741,0.0015,1.0,0.0,2
50,0.3314,0.0004,2.5697,0.0008,1.0,0.0,2
100,0.3374,0.0013,2.558,0.0026,1.0,0.0,2
