param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
100,0.3107,0.0192,2.609,0.0363,1.0,0.0,2
200,0.2243,0.1067,2.7613,0.1908,3.0,2.0,2
300,0.3261,0.0037,2.5798,0.0071,1.0,0.0,2
