param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.2514,0.0457,2.7177,0.083,8.0,2.0,2
0.2,0.3546,0.0098,2.5246,0.0191,3.5,0.5,2
0.3,0.3429,0.0111,2.5474,0.0216,1.5,0.5,2
0.5,0.3167,0.0013,2.5978,0.0025,1.0,0.0,2
