param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.2435,0.0065,2.7334,0.0117,1.0,0.0,2
0.2,0.316,0.0029,2.5991,0.0055,1.0,0.0,2
0.3,0.3259,0.0024,2.5803,0.0046,1.0,0.0,2
0.5,0.3313,0.002,2.57,0.0038,1.0,0.0,2
