param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
100,0.3102,0.0057,2.61,0.0108,4.5,2.5,2
200,0.3291,0.0466,2.5726,0.0894,11.0,3.0,2
300,0.3341,0.0059,2.5644,0.0114,6.0,4.0,2
