b29,b15,TS
1243.667254,693.2098271,8.875
884.2285172,517.0110777,1.65
900.5462548,529.6040333,1.45
1196.658131,653.8898848,8.2
749.6649351,394.2272727,3.875
959.4396265,550.0468429,2.1
1672.103713,1064.662932,11.8
840.2243918,469.4138924,2.4
1165.542016,697.235322,8.725
772.330432,433.8919133,1.775
830.8599552,462.1117157,4.475
933.7776547,543.1737617,3.9
982.1775597,542.5855357,2.175
1325.184365,869.0746954,4.95
1333.153009,836.2544814,9.0
1716.983788,1105.2939,5.775
816.6842532,449.1090909,1.9
971.6294814,586.1283611,1.675
1014.15749,584.3810819,4.125
1135.584187,683.4015685,4.225
864.5040013,511.3516325,1.65
1143.28089,737.6888604,10.2
1202.447343,731.7080666,6.825
1487.614179,897.1956006,8.55
1382.902529,840.4939181,8.225
842.3487894,491.1215382,2.3
875.2826397,507.0037981,2.175
931.6811204,535.0553885,4.625
1324.406742,807.5804173,6.45
1997.890647,1387.750277,6.05
1141.862036,634.7588028,4.525
1026.044469,555.1221712,3.475
961.0234214,554.4427916,3.275
1398.590109,827.403009,11.2
1079.821649,637.0602944,1.625
960.7293534,539.5833867,2.25
1911.585065,1311.322565,6.45
1093.840749,646.9795134,2.125
2289.928457,1668.557939,7.575
1083.737013,574.374513,3.0
953.4553457,540.8153009,4.825
890.6608641,506.9200823,4.35
999.3750593,578.2362716,2.15
1435.379332,879.8995094,8.125
849.5390525,478.5102433,1.475
1717.546575,1076.611556,8.375
901.7029449,510.5680218,1.325
