variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,30,0.4667,0.0457,2.1425,0.0941,0.3144,0.0298,2.6016,0.0554,3.6,1.8,6.4,0
+SCI+SDGE,30,0.4647,0.0441,2.1467,0.0906,0.3307,0.0292,2.5704,0.0577,4.0,3.4,6.2,0
