variant,algo_seed,split_seed,cv_seed,train_r2,train_rmse,test_r2,test_rmse,n_selected,selected_feature_names,elapsed_sec,status,error_msg
HHO,0,42,42,0.48730455994888244,2.1026338065535013,0.3635830470418594,2.5070772589593044,3,"b105,b17,b56",6.017350912094116,success,
HHO,1,42,42,0.437380171637636,2.2026294030328573,0.30362669650232355,2.62251453736351,3,"b43,b107,b38",5.737157821655273,success,
HHO,2,42,42,0.439166002434212,2.199130904073744,0.3141664405226886,2.6025927386805185,3,"b45,b106,b46",5.972557067871094,success,
HHO,3,42,42,0.4374584427629712,2.202476183869661,0.31443928989959524,2.6020749844537368,3,"b45,b105,b40",6.092462062835693,success,
HHO,4,42,42,0.4440490752065195,2.189536270771118,0.32045827926756487,2.5906271362715145,4,"b49,b71,b100,b34",6.954638957977295,success,
HHO,5,42,42,0.48693544987773074,2.103390555703764,0.3566811915972019,2.520635056200375,5,"b53,b72,b15,b51,b28",6.437517881393433,success,
HHO,6,42,42,0.5096953883636839,2.0562073368527294,0.3503170482055914,2.5330722832607995,6,"b42,b22,b95,b100,b56,b44",5.926316022872925,success,
HHO,7,42,42,0.5661342324293211,1.9342455572829675,0.31825912134946,2.594815691645509,3,"b42,b21,b23",6.628662109375,success,
HHO,8,42,42,0.43834072830516657,2.200748333369632,0.32121089781339307,2.589192129321532,4,"b49,b69,b101,b27",6.029270887374878,success,
HHO,9,42,42,0.43548315944384386,2.206339633645602,0.31393244649319296,2.6030366796471767,3,"b53,b107,b56",6.637392997741699,success,
HHO,10,42,42,0.5029045869906343,2.070397779614872,0.32189475260233313,2.587887543244986,12,"b47,b72,b65,b71,b96,b102,b99,b21,b20,b22,b40,b38",6.10833215713501,success,
HHO,11,42,42,0.4368808879340257,2.2036065220703387,0.3174701583675248,2.596316717646725,3,"b53,b104,b38",5.849797010421753,success,
HHO,12,42,42,0.43841902523352705,2.2005949326791314,0.3210064015485671,2.589582118086111,3,"b53,b103,b40",6.059260129928589,success,
