variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,3,0.4685,0.0585,2.1388,0.117,0.3408,0.0438,2.5506,0.0853,4.7,1.5,0.2,0
+SCI+SDGE,3,0.514,0.0218,2.0469,0.0461,0.3547,0.0299,2.524,0.0587,4.3,1.5,0.1,0
