b17,b56,b67,b70,b81,b82,TS
748.6402049,1807.300416,2121.429257,2183.683579,2439.022247,2462.461268,8.875
554.3739516,1381.381073,1632.029435,1698.830669,1883.509891,1926.221871,1.65
546.1680538,1290.394046,1525.475352,1595.354353,1784.06322,1808.931978,1.45
699.6432458,1702.065941,1961.172375,2001.399968,2230.214469,2236.046415,8.2
428.4225649,1176.683604,1421.692045,1496.166558,1708.730195,1735.424188,3.875
580.7974363,1435.258743,1663.880361,1757.919608,1945.365881,1973.147175,2.1
1118.548496,2212.865077,2480.274648,2535.15525,2710.78137,2701.692061,11.8
504.7596031,1274.845391,1529.277209,1583.541613,1813.951985,1856.345711,2.4
742.576357,1772.097326,2089.94113,2185.358759,2413.676215,2442.39405,8.725
465.1178984,1186.555784,1441.852825,1513.363349,1710.303371,1748.37142,1.775
509.1523688,1276.353073,1526.862036,1576.602433,1793.426216,1822.273848,4.475
578.5739832,1354.492166,1569.679221,1633.496281,1866.991296,1895.718152,3.9
582.4769742,1466.769742,1779.978636,1839.709289,2045.203671,2079.778129,2.175
895.1139421,1791.520494,2001.946036,2059.294034,2267.238171,2278.160152,4.95
870.8039373,1850.145327,2087.210147,2175.904449,2389.669334,2412.560179,9.0
1158.950722,2445.836437,2686.386677,2727.564526,2825.121509,2823.936437,5.775
487.1056818,1222.891721,1464.213961,1530.90974,1743.358766,1771.359091,1.9
617.828105,1502.460787,1754.03137,1840.761044,2026.045455,2058.268566,1.675
620.0830666,1568.648528,1891.681658,1982.084507,2254.815301,2300.638764,4.125
722.7197503,1617.683579,1856.336588,1914.555378,2158.93646,2181.025448,4.225
549.9361396,1347.96991,1618.28121,1701.861556,1940.264405,1971.552497,1.65
767.5208067,1543.990877,1747.840429,1813.495999,1959.59507,1976.418374,10.2
787.2634443,1780.2492,2081.071063,2133.606274,2368.931338,2401.949264,6.825
952.4644722,2057.996044,2316.748694,2368.871973,2571.232473,2581.852034,8.55
887.0113636,1959.919974,2173.174296,2252.330026,2370.233835,2371.664052,8.225
524.6396582,1247.745688,1476.252572,1546.947618,1733.831935,1763.020889,2.3
532.4135148,1389.877354,1692.954423,1749.003007,1974.660548,2010.317455,2.175
576.3078019,1360.271087,1623.820383,1701.413357,1838.774964,1865.869441,4.625
861.5346709,1847.62809,2156.732745,2187.758748,2408.995024,2429.22809,6.45
1423.862003,2504.728913,2766.365881,2808.75724,3029.316348,3030.574458,6.05
680.349872,1649.74904,1879.121959,1936.076344,2102.791453,2118.991997,4.525
608.9417629,1484.65944,1739.241652,1802.656749,2065.483304,2084.78984,3.475
590.1050799,1415.25542,1650.690932,1708.687767,1954.489634,1978.162367,3.275
875.9322983,2082.791133,2392.342029,2458.493438,2645.471031,2656.997759,11.2
667.8013926,1578.324735,1810.473651,1873.523975,2052.005064,2088.690774,1.625
588.4204545,1409.664853,1681.785691,1740.551536,1960.035051,1988.00048,2.25
1375.083604,2548.923539,2865.623052,2896.470292,3032.491558,3029.521591,6.45
679.4113316,1653.128361,1967.102113,2010.205506,2201.773848,2225.908451,2.125
1702.060659,2893.935819,3122.181178,3207.87596,3405.623079,3386.729513,7.575
617.7915584,1615.309091,1877.545617,1925.065909,2196.088474,2225.212662,3.0
581.8098592,1394.473752,1638.1863,1714.184699,1971.673816,2001.565781,4.825
536.0680487,1368.74996,1642.197658,1722.670517,1956.339452,1982.884634,4.35
607.7018516,1467.938281,1733.329324,1814.661655,2091.686976,2127.898876,2.15
920.6178193,2019.150657,2319.675423,2375.575566,2600.544706,2618.814686,8.125
516.7205506,1251.658131,1468.726152,1547.683099,1815.665653,1849.31178,1.475
1144.75,2348.852913,2636.034251,2649.995519,2819.449584,2818.204225,8.375
537.9321383,1386.965589,1645.136684,1713.113636,1943.410531,1973.177337,1.325
