b92,b94,b81,b161,b142,TS
2581.629962,2618.077145,2439.022247,2353.316421,3017.650608,8.875
2167.81247,2230.211742,1883.509891,2493.297041,2979.828454,1.65
1965.433899,2034.107074,1784.06322,2082.014085,2724.09235,1.45
2379.487676,2411.419814,2230.214469,2259.520166,2887.387324,8.2
1967.182305,2038.919318,1708.730195,2056.893669,2737.782305,3.875
2153.868967,2239.717993,1945.365881,2369.46463,2937.581263,2.1
2773.040013,2815.894686,2710.78137,2301.855954,2966.518886,11.8
2028.330826,2101.15509,1813.951985,2347.705346,2844.857875,2.4
2719.381073,2773.490426,2413.676215,2974.81975,3422.519702,8.725
1970.716569,2016.988764,1710.303371,2181.607216,2741.564172,1.775
2014.574264,2060.298335,1793.426216,2051.739277,2682.435659,4.475
2041.831302,2106.329008,1866.991296,2378.809305,2790.136097,3.9
2300.1812,2367.689983,2045.203671,2556.476025,3078.035923,2.175
2317.748536,2345.885267,2267.238171,1831.392784,2592.462415,4.95
2552.245198,2609.784731,2389.669334,2719.550896,3127.529449,9.0
2882.446388,2938.200803,2825.121509,2151.164045,2878.509952,5.775
1989.660552,2026.871753,1743.358766,2013.571104,2656.01461,1.9
2313.703425,2403.700064,2026.045455,2636.339309,3187.819782,1.675
2557.303457,2623.294814,2254.815301,2954.93774,3406.113796,4.125
2300.791613,2313.651408,2158.93646,2275.927497,2861.420935,4.225
2240.828265,2289.946223,1940.264405,2993.239757,3284.028809,1.65
2097.71975,2127.696863,1959.59507,1667.895807,2528.058579,10.2
2604.505442,2653.981114,2368.931338,2819.956306,3330.169334,6.825
2608.571768,2651.986865,2571.232473,2228.087039,2886.727963,8.55
2474.808739,2533.708387,2370.233835,1697.477433,2630.476953,8.225
1959.114417,1997.254787,1733.831935,2056.05618,2642.305428,2.3
2245.675898,2317.814844,1974.660548,2632.573192,3062.038297,2.175
2093.465263,2162.76626,1838.774964,2211.002532,2799.094952,4.625
2535.749278,2581.761156,2408.995024,2385.767897,3038.391974,6.45
2987.845545,2960.104289,3029.316348,2109.173762,3092.013451,6.05
2234.476793,2261.766805,2102.791453,1602.246479,2493.832907,4.525
2176.94746,2249.568444,2065.483304,2222.793796,2764.237221,3.475
2129.261434,2177.615287,1954.489634,2490.405444,2936.384238,3.275
2801.904449,2839.909411,2645.471031,2421.319942,3048.914693,11.2
2254.143377,2322.199715,2052.005064,2345.322361,2941.830511,1.625
2177.054417,2234.645006,1960.035051,2329.956786,2870.34507,2.25
3098.031981,3093.385714,3032.491558,2174.693344,3169.254058,6.45
2437.079385,2489.398047,2201.773848,2486.308579,3047.261364,2.125
3334.724872,3345.426376,3405.623079,2496.59443,3263.642606,7.575
2377.821916,2443.034416,2196.088474,2460.013312,3058.259091,3.0
2168.510883,2245.275288,1971.673816,2630.899968,3050.754641,4.825
2221.627947,2308.496756,1956.339452,2557.254945,2994.369837,4.35
2276.95379,2329.120589,2091.686976,2445.198133,3109.344833,2.15
2752.488368,2791.737775,2600.544706,2519.689983,3149.24007,8.125
2003.323784,2057.233035,1815.665653,2350.620038,2783.449584,1.475
2849.572343,2863.974552,2819.449584,2049.4992,2883.026248,8.375
2203.048816,2263.557458,1943.410531,2614.820102,3095.180058,1.325
