Set,R2,RMSE,RPD,Best_Params
Train,0.6919426031429209,1.6298578780300075,1.8017070560647641,"{'C': 2.124436460391474, 'gamma': 0.050529423142315656, 'epsilon': 0.19928040071963252, 'kernel': 'rbf'}"
Test,0.27540872327475274,2.6751208003657827,1.1747716281320455,"{'C': 2.124436460391474, 'gamma': 0.050529423142315656, 'epsilon': 0.19928040071963252, 'kernel': 'rbf'}"
