fusion_col,transform,band_name,wavelength
3,R,b77,654
5,R,b79,662
10,R,b78,658
20,R,b63,598
60,SNV,b96,730
71,SNV,b102,754
75,SNV,b99,742
79,SNV,b19,422
88,SNV,b23,438
109,LOG,b48,538
112,LOG,b39,502
