variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,30,0.457,0.0375,2.1625,0.076,0.3146,0.0261,2.6013,0.0494,3.6,1.8,6.4,0
+SCI,30,0.4679,0.0455,2.1401,0.0941,0.327,0.0214,2.5779,0.041,3.6,1.2,6.3,0
+SCI+SDGE,30,0.4577,0.0424,2.1608,0.0871,0.3264,0.0288,2.5786,0.0569,3.4,1.5,6.3,0
+SCI+SDGE+RSC,30,0.4763,0.049,2.1228,0.1013,0.3178,0.0409,2.5946,0.0768,3.2,0.6,6.9,0
SSAHHO,30,0.4773,0.0497,2.1207,0.1026,0.3113,0.0549,2.606,0.1018,3.3,0.7,6.9,0
