Set,R2,RMSE,RPD,Best_Params
Train,0.7054331799324447,1.593770663883475,1.8425025041395202,"{'n_estimators': 13, 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5}"
Test,0.39842986916009315,2.4374739324570145,1.2893085650059697,"{'n_estimators': 13, 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5}"
