b18,b66,TS
770.7147887,2107.84347,8.875
573.3813895,1617.244342,1.65
555.9742318,1499.314501,1.45
726.7855314,1941.24968,8.2
440.0167208,1398.025812,3.875
604.3418262,1632.008071,2.1
1150.345711,2472.331466,11.8
514.9747119,1520.643086,2.4
758.4695363,2047.863744,8.725
477.4382022,1423.425067,1.775
529.9215749,1515.643246,4.475
591.3907264,1553.945245,3.9
600.0775439,1761.984966,2.175
905.6252572,1969.722899,4.95
885.8954866,2053.567702,9.0
1186.466613,2676.588122,5.775
504.7209416,1447.303896,1.9
627.6483675,1729.615717,1.675
636.3628361,1850.423656,4.125
739.8319462,1842.345871,4.225
568.0921895,1590.871799,1.65
782.9964789,1727.775928,10.2
816.1877401,2062.885083,6.825
969.7358759,2297.075487,8.55
898.9943982,2150.705826,8.225
535.1216965,1464.586169,2.3
540.205887,1662.996518,2.175
591.5830036,1609.543599,4.625
888.8070626,2142.924719,6.45
1436.615604,2770.663238,6.05
702.1261204,1857.069622,4.525
627.8732394,1727.141795,3.475
602.5682861,1615.705966,3.275
898.887484,2377.090589,11.2
690.7820858,1769.558316,1.625
616.9820743,1662.158451,2.25
1402.876623,2838.226461,6.45
694.5352113,1947.335147,2.125
1711.995198,3096.337708,7.575
634.9433442,1867.498864,3.0
595.9651088,1621.65557,4.825
545.6540592,1612.132932,4.35
618.4412091,1703.398323,2.15
940.3663554,2294.629846,8.125
529.6693342,1443.556018,1.475
1182.50016,2640.303617,8.375
557.9159731,1608.401569,1.325
