fusion_col,transform,band_name,wavelength
0,R,b49,542
13,R,b54,562
35,FD,b29,462
70,SNV,b106,770
75,SNV,b99,742
77,SNV,b21,430
83,SNV,b26,450
91,LOG,b50,546
102,LOG,b31,470
112,LOG,b39,502
