b25,b80,TS
948.346991,2418.870038,8.875
669.5459725,1866.397056,1.65
679.1341229,1768.93662,1.45
912.4242958,2209.444302,8.2
555.9199675,1688.117532,3.875
727.06884,1939.633486,2.1
1353.851152,2697.297535,11.8
622.7597631,1797.621319,2.4
880.9393891,2415.544706,8.725
571.8887482,1688.193702,1.775
623.112516,1774.909571,4.475
710.0889381,1844.217439,3.9
732.6815952,2037.880994,2.175
1055.278525,2236.712455,4.95
1045.606594,2355.370999,9.0
1406.439968,2840.652488,5.775
604.4519481,1724.740422,1.9
749.3476312,2011.528489,1.675
755.93758,2230.402849,4.125
860.0641805,2137.108035,4.225
659.3799616,1920.141005,1.65
892.9271767,1955.15621,10.2
941.3385083,2356.663732,6.825
1175.183257,2541.645197,8.55
1091.460467,2355.828905,8.225
635.6470961,1710.660706,2.3
653.645197,1963.762937,2.175
705.2620668,1841.724956,4.625
1049.360353,2390.982825,6.45
1698.875455,3005.221079,6.05
858.4444622,2080.581146,4.525
775.8787783,2039.00902,3.475
738.4298148,1932.211426,3.275
1122.119238,2630.867958,11.2
820.0340244,2050.110935,1.625
724.6627721,1943.87532,2.25
1579.238474,3032.888149,6.45
833.3961268,2195.691581,2.125
1995.073784,3354.913892,7.575
818.2900974,2169.614773,3.0
710.7227913,1945.669174,4.825
661.7939547,1921.826871,4.35
763.8639025,2065.27805,2.15
1148.046526,2576.246716,8.125
628.1598912,1790.893566,1.475
1376.152049,2809.408451,8.375
666.4396607,1936.682458,1.325
