b31,b14,TS
1263.622119,654.1446863,8.875
906.7406235,499.3438835,1.65
922.5171255,521.584347,1.45
1204.970871,639.0632202,8.2
747.299513,365.9993506,3.875
989.1607849,550.6664029,2.1
1680.326344,1044.432778,11.8
848.7426376,440.1174776,2.4
1210.470802,664.7186264,8.725
796.3101757,404.3590758,1.775
841.7267926,435.8902049,4.475
947.7050166,513.2910271,3.9
994.1378383,515.6520019,2.175
1326.224719,850.1492325,4.95
1336.435019,813.7837708,9.0
1790.010273,1078.742857,5.775
823.8060065,423.6983766,1.9
981.7559219,558.8778809,1.675
1031.521607,563.5680218,4.125
1159.84235,657.7983355,4.225
884.3095391,488.8085787,1.65
1170.897247,725.1309219,10.2
1234.372439,704.3689181,6.825
1492.338819,853.0788099,8.55
1363.886044,795.9478233,8.225
848.1253363,465.0978003,2.3
896.3600253,483.5586327,2.175
952.4296566,502.5089413,4.625
1343.793419,779.5577849,6.45
2012.67938,1358.619402,6.05
1139.797855,609.128041,4.525
1038.162367,513.9181833,3.475
962.0705808,527.193385,3.275
1433.057298,801.6600512,11.2
1109.806298,642.1425859,1.625
966.7275928,519.5947503,2.25
1944.681981,1272.621591,6.45
1112.216229,626.6165173,2.125
2238.12356,1636.894206,7.575
1083.117045,542.6381494,3.0
967.5305698,509.1691741,4.825
894.4975471,483.9329008,4.35
1020.592974,553.136414,2.15
1462.681595,858.2660231,8.125
846.650128,447.4583867,1.475
1723.733195,1046.703425,8.375
939.0774648,511.0473752,1.325
