b119,b144,TS
2888.841709,2982.832266,8.875
2645.414148,3011.646147,1.65
2398.948784,2671.350032,1.45
2703.488636,2859.525128,8.2
2412.862175,2694.230682,3.875
2625.238487,2906.664979,2.1
2907.262324,2921.18598,11.8
2482.501601,2820.178777,2.4
3150.336129,3413.470486,8.725
2405.965184,2758.983225,1.775
2444.420935,2704.616997,4.475
2483.375059,2791.403228,3.9
2768.580313,3087.41937,2.175
2551.743314,2613.613072,4.95
2951.559059,3137.59523,9.0
2970.277849,2901.597592,5.775
2366.282305,2671.434578,1.9
2782.825864,3168.24936,1.675
3074.040173,3386.838828,4.125
2606.09235,2841.822023,4.225
2806.867638,3267.208227,1.65
2318.866837,2469.836428,10.2
3083.178777,3295.684219,6.825
2805.054122,2858.7047,8.55
2598.315941,2564.057458,8.225
2367.644248,2631.990347,2.3
2771.230258,3070.843804,2.175
2485.815635,2790.491375,4.625
2885.116854,3021.153933,6.45
2964.693306,2982.503402,6.05
2377.552817,2459.097151,4.525
2541.040038,2741.224561,3.475
2616.856306,2937.205412,3.275
3005.604033,3032.734955,11.2
2633.075645,2875.566387,1.625
2653.81178,2862.755602,2.25
3178.349675,3069.710714,6.45
2860.504161,3075.047535,2.125
3386.284731,3220.934379,7.575
2826.841721,2998.010065,3.0
2665.684379,3026.90749,4.825
2697.960595,2993.073904,4.35
2715.688084,2998.757557,2.15
3056.233265,3144.558949,8.125
2463.899168,2786.065941,1.475
2975.095711,2866.451184,8.375
2678.400288,3043.764565,1.325
