id,Lon,Lat,TS,EC,Raw_b33,Raw_b45,Raw_b51,Raw_b64,Raw_b39,Raw_b27,Raw_b57,Raw_b21,SNV_b25,SNV_b14,SNV_b27,SNV_b101,SNV_b79,SNV_b73,SNV_b90,SNV_b66,FOD_b108,FOD_b27,FOD_b24,FOD_b19,FOD_b110,FOD_b104,FOD_b122,FOD_b18,FOD_b29,FOD_b82,FOD_b124,FOD_b120,FOD_b42,FOD_b44,FOD_b80,FOD_b40,FOD_b85,FOD_b102,FOD_b112,FOD_b17,CR_b47,CR_b53,CR_b64,CR_b61,CR_b41,CR_b24,CR_b72,CR_b80,CR_b26,CR_b69,CR_b22
0,79.899092,37.278009,1.675,1.85,1017.3804672062968,1166.2977607366001,1270.0580320186518,1689.2276634615432,1099.3450868228472,863.7546645762263,1525.176168552452,673.0543275016337,-1.626738553964414,-1.8855196985572882,-1.5092141405582549,0.5234771129337973,-0.0726586381014773,-0.19680766492636062,0.27834219679069944,-0.4168057246233085,3.7560607698453023,36.11156409699522,30.822760825708922,15.625385331695549,12.934557951430422,6.009084622631955,28.42792782513258,15.452994526873216,30.86869198766696,26.5144184237551,26.470818723013476,30.700510400762983,11.870016508349252,13.333189195062532,21.475886884657825,11.113140331046877,28.171703238504005,11.256201915660137,24.25285060205558,15.28060372205097,0.8892460355921005,0.9099440749448112,0.9806911376383577,0.9826853368835374,0.9175262660246629,0.888304232251997,0.9906157813540567,0.9719868299189993,0.9331462519100343,0.9877477397143537,0.8889866114356638
2,79.899496,37.277933,1.65,1.713,921.65503255618,1054.506071106297,1130.0801525221477,1544.718859470867,982.8815736293735,757.2862659850839,1377.2974356317054,606.0296053927757,-1.545321078494719,-1.7549742215563149,-1.4529243928720772,0.42564482787216634,-0.15861920008065677,-0.2874656864257734,0.17876933692278152,-0.5032763448721673,8.697786357406223,33.258064354738394,25.506938376895604,14.64437782579171,17.677044757787694,9.825912169591046,24.78772732983689,15.854662830686815,30.601945029771233,26.97053433719014,23.839825712417934,28.496010230960014,11.361376889120603,11.680115886234397,23.47299670387802,10.635377515679208,28.555052943822904,14.983885351621185,28.88085842860782,17.064947835581947,0.8565955967482839,0.859823407562023,0.9420595151990997,0.9394093686165558,0.8958445329138475,0.8837091965334061,0.9673228857184936,0.9604973599951311,0.9203077283710849,0.9549183091234857,0.9015798869971818
3,79.899901,37.277841,2.125,0.324,1136.0789047948751,1337.0336293846194,1440.4515875967409,1885.5335915711012,1226.6864344638732,962.1963889377652,1690.5673060745971,750.1722285375313,-1.7192777083324624,-2.0252552900035217,-1.5815223730688839,0.5979981974943592,0.05626816589364041,-0.109593016532658,0.32928934272988686,-0.2672877294807492,1.6589509111040297,40.996769462140385,35.22684564396069,18.151217179402686,9.562328954884537,1.5232793044500983,22.695924941831002,17.1647191181902,34.61372605719018,20.29029811290532,16.967251590824414,28.873338953549595,18.400276835261778,17.700494809875043,19.938840460860394,18.329816372727326,19.29306839942789,4.261893699406661,20.43091371720711,16.178221056977808,0.9178709805265033,0.9186753266067771,0.9958301398040239,0.9914818873172869,0.9344746423444278,0.884226743230621,0.9885926952309219,0.9861195124875555,0.9268801022833859,0.9977303721618543,0.8862091686562596
4,79.900168,37.277689,9.0,2.19,1349.4968487599108,1533.2923754965082,1628.4769835198183,2022.600137811195,1449.7758213123584,1192.5016506137565,1872.1160963053667,939.4924003720307,-1.7362597777838544,-2.0973629603055346,-1.5605219702763724,0.5850132276273864,0.06693321764512218,-0.07355476843646865,0.3205993783034507,-0.29658227561706296,0.796026908243293,44.85613060458796,40.6936591767007,18.925128012036808,7.980675344479792,5.107011978215803,17.02868405469388,17.663430119901847,34.96334990618785,19.235738666560735,16.607515839394008,19.455542672176374,14.917052108116167,13.647266225450359,23.37492028575973,17.1324392757788,11.291247830197095,11.593747457300372,18.28136762941303,16.401732227766963,0.924229632323225,0.9353068195629703,0.9860774662710272,0.9874067010576765,0.9498448838272199,0.8939784037361329,0.9978862084169048,0.992503451982463,0.9404293610839926,0.9952773453525188,0.8906767594000199
5,79.90029,37.277593,6.45,1.433,1367.5904272797243,1553.4073836993052,1648.3621802517532,2084.1841974708686,1437.2991838298412,1194.0623089291412,1887.3370053496562,956.1592634916111,-1.7637046397948022,-2.221295357292425,-1.5915275221770275,0.6678490501627662,0.20485398488777212,0.027833187233305048,0.40119270551780206,-0.16225703406403336,-5.690592836300114,43.76494041172719,39.20433363948519,24.327442902681046,5.7017548655435535,-5.852913139690613,13.68724450254297,24.697326804518656,35.87353295931986,15.82427701159149,10.546168826637057,21.247503798580283,18.371798554100476,18.008026249205386,18.17975681290534,16.924545828840895,10.153630671922071,0.7069750130112324,20.11111856336095,25.067210706356324,0.9277999417075197,0.9266180631662654,0.9987711349215534,0.9942280963643263,0.9354345428285546,0.9165940090808491,0.9956546808588422,0.9989418287694002,0.9511133165200126,0.9971019657991717,0.9216627962615415
6,79.900526,37.277616,3.8,0.867,1610.1701575734314,1827.5508854918469,1919.6955352097957,2366.23555886714,1732.0539672890495,1446.5179779697014,2176.6568173799596,1172.9708537319382,-1.788182183197011,-2.208918379541308,-1.599548957291355,0.6366716223900599,0.16528209764088536,0.034864566230818426,0.4005770386957087,-0.16930270351167545,-2.9171876933036502,46.87086836492913,44.007618790845626,22.4339224860356,2.1306567350497954,1.5469495901038854,24.09056703210431,20.826356088819733,36.75508479476594,16.06774090606061,19.776430028968072,27.651119845857256,16.33274596465358,15.543606368701045,18.8606198171859,17.215021373384243,11.842569952426395,4.863513248760354,11.654030332867153,19.218789691603945,0.9359110097664943,0.9392592018835652,0.9907248044564478,0.9843077907965398,0.9548500279522122,0.9155111294087287,0.9971854951633029,0.9939620750332561,0.9556867077116111,0.99999999999996,0.9131335413765452
7,79.90064,37.277475,12.875,3.13,1332.7896825524513,1500.0045430606106,1579.0896077902144,1984.934127317022,1399.0794044708666,1182.0681029342693,1823.5060022540847,948.4605659517512,-1.7671771569686394,-2.23934154581772,-1.5778345353282561,0.6424744728985875,0.22693772561381634,0.06760229545296378,0.41162701798274687,-0.13071542986579093,-5.978406538694647,40.99878839447564,37.668852125054144,21.632891664893382,5.126456349014657,-6.451563550095383,14.23243465443956,21.718427236817583,32.68628142178648,13.503934927929674,12.71119159887693,19.452179905891125,16.02767564549696,15.09466707266376,15.868629671159189,15.279607545221491,7.970848281479126,-0.4626728228226365,19.222211351133794,21.80396280874183,0.9276570539691248,0.9299828493845533,0.9983767806303497,0.9918614345404496,0.9398286353052517,0.9171364245711753,0.9980108986613836,0.998363548411969,0.9563237730398617,0.9954178044506329,0.9180802891907741
8,79.899038,37.27841,1.475,0.206,856.0637839426599,965.9251852000029,1037.5501284228467,1410.3748455501209,904.8404505752942,741.3548671447575,1264.6443330116585,564.5296822083933,-1.576246178796833,-1.843443538778296,-1.4492594073984084,0.4880113797178529,-0.03579269677138399,-0.2436420166439216,0.24798011503802705,-0.4676341688182927,7.9258741997245545,32.924143408735,28.500177508287855,14.456915315942176,12.902189824433183,9.69918984871797,25.065869096037364,15.199085646082185,25.863863627563124,23.748835353443617,24.87091512475111,26.90812263877948,10.08938798549483,10.90513458913755,26.67142385265954,9.057424180686619,16.490039271349954,11.913248625280813,20.504510305149445,15.941255976222237,0.8421041161616813,0.8575656364931418,0.9361816157352314,0.9288425876549428,0.8682629078756976,0.8752093889539981,0.9578847098617345,0.9869564569925304,0.9292831518109826,0.9477170963284743,0.8823345804657667
9,79.89942,37.278257,2.0,0.31,820.8442512014011,958.8930739540822,1019.6425089806557,1392.379020797207,892.6787477519839,687.5134993557131,1249.6204348904466,518.0989574783232,-1.6060736255500847,-1.840290304838582,-1.4870518450137318,0.5430525784287445,-0.05567658038516441,-0.24196886923611666,0.2553621993156399,-0.4159752664541172,4.52867660394154,32.50741964195177,27.411330305664414,12.106776941714553,11.479109239627078,7.00318396520451,25.648983276690053,11.6671679696458,27.13996920093671,25.191410487751707,24.554902451896638,27.279864566052233,11.26828480005091,9.910834626281035,26.85629959637641,12.599030493541047,17.991276964717162,11.352049901059557,20.874761889362194,11.227558997577097,0.870883079756399,0.8773137130615944,0.9586453343096235,0.9520960903352133,0.913249228099348,0.861038835572659,0.9664835928714022,0.9790428222948314,0.91640611589617,0.9715074559632987,0.8590018750928494
10,79.899511,37.278147,2.125,0.35,874.1311539512847,1013.5420798482548,1081.140410836833,1478.1933084988389,940.8088302109586,750.2358983510511,1337.4927506386985,570.2976721237778,-1.6262422845043827,-1.9278795199925394,-1.4984810843760104,0.5715612230059193,-0.019539274779732965,-0.193169005957901,0.29202314745261687,-0.3870125115902555,5.185494367471902,33.11664639368095,29.240244313566514,16.44245029610957,13.240158275588051,4.762689801038406,21.477417240877394,16.858811829395066,26.656985896022537,21.530394343123607,19.51621699866507,24.11700132996408,12.03243444911003,11.557241945893239,24.20111165588053,12.067939238741305,16.50058829179917,8.979600268573888,22.616643476986653,17.27517336268061,0.8730189257478309,0.8896007790170222,0.9737439216549347,0.9670088261664136,0.8995416289204832,0.8872278246281768,0.9800047661420919,0.9892487511679061,0.9353423933506433,0.9803515286894503,0.8925956932311404
