Set,R2,RMSE,RPD,Best_Params
Train,0.8266321458788105,1.222695185835301,2.4016831613050638,"{'n_estimators': 52, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3}"
Test,0.33009686966103624,2.5721888491417864,1.221782770399678,"{'n_estimators': 52, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.3}"
