variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
HHO,0,0.4669737648935248,2.143918184731711,1.7093360916872786,0.350499957876133,2.532715681605522,1.7117725937688593,2,4.658581972122192
HHO,1,0.504693819293375,2.066668352725221,1.692145344521607,0.1315623916311187,2.928641140512981,2.1620943337345855,3,5.098459959030151
HHO,2,0.5165500537335856,2.0417834231863656,1.6954603817596734,0.33508132736527896,2.562601713411618,1.7919580789131577,4,5.369959831237793
HHO,3,0.4452166939604951,2.187235809313941,1.7976155019570115,0.33176593437996016,2.5689825444555394,1.829528968704861,1,4.298649072647095
HHO,4,0.44546579318948953,2.1867447167377443,1.796421599806021,0.33247131754156056,2.567626286529154,1.8359450312726102,1,4.092377185821533
HHO,5,0.4460846193384904,2.185524239684884,1.7957111492285585,0.3283412173024831,2.575557182814607,1.831459912670882,1,4.10953688621521
HHO,6,0.576570216806295,1.9108412873768226,1.5079728918465831,0.11825692022112633,2.9509909491896256,1.7458397475041525,6,6.295352935791016
HHO,7,0.5055897302303778,2.0647984095638865,1.6931977443523805,0.36016744851690385,2.5137958972798913,1.7475355816117921,7,5.718832969665527
HHO,8,0.48367287847761276,2.110067675415045,1.688120881020187,0.35281198150510196,2.52820381205537,1.6953382624859235,2,5.177685737609863
HHO,9,0.4124561120016107,2.2508889637902385,1.869336757914665,0.31591722121879273,2.59926869543527,1.9501542944664958,2,5.2437121868133545
HHO,10,0.5203940888580241,2.033649849766487,1.6215729649568151,0.3644201653612176,2.5054278600157582,1.7397401166584043,14,5.797757148742676
HHO,11,0.5710386115100163,1.9232822193703722,1.5414174990893035,0.2782937167952768,2.669789930497555,1.7649008939806805,8,5.784934997558594
HHO,12,0.43586254437505434,2.2055981210520135,1.8105326957446761,0.3224794132616221,2.586771667562224,1.8768325874436325,8,6.20925498008728
HHO,13,0.5144638668344853,2.0461840406103855,1.6466577651258432,0.33385318674044706,2.5649672533349763,1.7588956222533882,10,5.972360849380493
HHO,14,0.4460846193384904,2.185524239684884,1.7957111492285585,0.3283412173024831,2.575557182814607,1.831459912670882,1,4.930474042892456
HHO,15,0.4481372032091865,2.18147115191002,1.7939266873782074,0.3360214190972495,2.560789512234795,1.8771286785931793,3,4.776626825332642
HHO,16,0.48385494827959463,2.1096956114059973,1.7490733793341404,0.31247301783004466,2.605803847510428,1.8510858736231883,9,5.8823301792144775
HHO,17,0.6238561572639976,1.8009883102134312,1.457770432364901,0.3137288163342544,2.6034229517020844,1.9548269493669388,7,6.059060096740723
HHO,18,0.608695997681688,1.836923458547617,1.533809901957642,0.3459125737667941,2.5416441617969743,1.702103537898264,3,4.708454132080078
