variant,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Train_MAE_mean,Train_MAE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,Test_MAE_mean,Test_MAE_std,n_feat_mean,n_feat_std,time_mean_sec
HHO,0.4851,0.0584,2.1037,0.1236,1.7147,0.1119,0.3053,0.0699,2.6165,0.1253,1.8393,0.0976,4.5,3.7,5.1
MSHHO_I1,0.4943,0.0687,2.0833,0.1473,1.6752,0.1508,0.2969,0.0969,2.63,0.1688,1.8389,0.1355,3.7,2.4,5.1
MSHHO_I2,0.501,0.0796,2.0667,0.1795,1.6797,0.1778,0.3019,0.0769,2.6224,0.1366,1.8553,0.1312,5.0,3.5,5.3
MSHHO_I3,0.4544,0.0647,2.1646,0.1411,1.7652,0.1299,0.3073,0.0575,2.6137,0.1042,1.8758,0.0751,1.6,1.8,4.4
MSHHO,0.453,0.0509,2.1693,0.1049,1.7709,0.0924,0.3148,0.0366,2.6004,0.0689,1.8592,0.0786,1.8,2.4,4.4
