variant,n_runs,Train_R2_mean,Train_R2_std,Train_RMSE_mean,Train_RMSE_std,Test_R2_mean,Test_R2_std,Test_RMSE_mean,Test_RMSE_std,n_feat_mean,n_feat_std,time_mean_sec,fail_count
HHO,10,0.4688,0.0652,2.1362,0.1376,0.2714,0.0656,2.6802,0.1185,3.5,1.1,3.0,0
SSAHHO,10,0.4612,0.0439,2.1539,0.0896,0.3107,0.0165,2.6091,0.031,3.1,0.3,3.2,0
