variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,selected_features,elapsed_sec
HHO,0,0.683912043775603,1.6509650880493971,1.2721572795379157,0.0598326738436058,3.047189229159545,2.045086692032912,3,b28;b126;b132,9.02059006690979
HHO,1,0.9383993228006714,0.7288307014387325,0.5411185227950198,0.24762778791293527,2.7259207220846937,1.8667370083017654,9,b27;b62;b81;b82;b88;b105;b119;b160;b163,9.391617774963379
HHO,2,0.8705486229125562,1.05654318436155,0.8141222882770135,0.38850884245095385,2.4574910126009235,1.675172430083144,20,b15;b21;b22;b25;b34;b36;b38;b61;b69;b77;b80;b107;b116;b121;b126;b130;b136;b139;b140;b153,9.687453269958496
HHO,3,0.8983576040025757,0.9362058756015382,0.7471331146586421,0.2410451073765224,2.7378196113508966,1.9556744343652523,13,b27;b32;b35;b62;b65;b75;b88;b99;b106;b112;b119;b152;b158,9.589781999588013
HHO,4,0.7424953389125749,1.4901379070295775,1.168052176545478,0.09774290063052593,2.9851214253498695,2.032519814701509,6,b16;b27;b28;b90;b98;b131,8.674260139465332
HHO,5,0.6420893403903458,1.756795587480005,1.3014218763019634,0.24177042186872166,2.7365110652649576,1.714329502119441,1,b26,6.759993076324463
HHO,6,0.869595604697065,1.060425176620635,0.8551616763151523,0.30028130361127425,2.6288062991583176,1.920114502194904,11,b15;b27;b63;b68;b74;b82;b93;b104;b109;b129;b138,8.917387962341309
HHO,7,0.8921964687266573,0.9641628837402274,0.7642100300212002,0.3393666980194846,2.554330439028771,1.8348076188802382,12,b17;b27;b32;b34;b68;b74;b88;b108;b119;b131;b136;b138,8.84626817703247
HHO,8,0.8634132086289615,1.0852711715881633,0.8808213387015389,0.34115868159648977,2.550863745462579,1.7810148705028515,18,b14;b26;b35;b51;b66;b68;b103;b105;b127;b131;b135;b137;b141;b145;b147;b148;b160;b161,9.255617141723633
HHO,9,0.8185694651438993,1.2508035518908314,1.0910036195870891,0.2665375203996977,2.691446793238008,1.9014069945375653,13,b28;b33;b59;b62;b65;b67;b69;b92;b104;b122;b128;b134;b159,9.718209743499756
HHO,10,0.7259315687332032,1.5373169739512944,1.117624367176626,0.2731167870729222,2.6793482632753114,1.8519540540879094,3,b17;b26;b150,8.23927927017212
HHO,11,0.7754117348633012,1.3916417379943091,1.0877038549867446,0.24173773032173362,2.73657005783026,1.8621615445730388,4,b27;b61;b99;b131,8.505234003067017
HHO,12,0.877685540716868,1.0270056084658197,0.8992822920917376,0.27953382383967496,2.66749519588946,1.9681076268062232,32,b14;b28;b47;b48;b59;b60;b61;b62;b66;b70;b73;b75;b79;b80;b86;b94;b98;b103;b109;b110;b113;b119;b122;b125;b129;b133;b134;b139;b147;b148;b149;b154,10.389731168746948
HHO,13,0.8573310640296568,1.109171307478852,0.8340651539114176,0.23056084294671386,2.75666498276403,2.000331578882682,13,b25;b35;b48;b64;b93;b113;b118;b119;b131;b134;b138;b149;b155,9.381853103637695
HHO,14,0.8400582227777785,1.1743968403379383,0.8952493208465375,0.1603988499539155,2.8796079239762387,2.1043961343833795,8,b28;b48;b61;b67;b70;b82;b119;b120,8.488475799560547
HHO,15,0.8910024095572066,0.969487835158504,0.8093156977841179,0.32114657651245115,2.589314800899866,1.7802623988604935,13,b26;b28;b38;b68;b89;b91;b101;b106;b109;b121;b128;b148;b159,9.379235982894897
HHO,16,0.8324143311224097,1.2021325425201397,0.9378400131210403,0.35672800384597336,2.520543345262961,1.764175857009312,11,b20;b27;b33;b61;b69;b83;b109;b128;b131;b136;b137,9.62166714668274
HHO,17,0.8489490244618103,1.1412891344429164,0.8970188621557714,0.20182540043484376,2.807668303085487,1.956164010785919,13,b27;b31;b62;b64;b69;b81;b99;b110;b119;b134;b141;b146;b160,9.515365839004517
HHO,18,0.7701258476146057,1.4079232663489645,1.144900908020013,0.29410999963377715,2.6403734824457814,1.8678958221187614,4,b28;b67;b82;b123,8.86611819267273
HHO,19,0.7706799261890565,1.4062254443985283,1.099825515735289,0.1705206196957384,2.862197808406393,1.9804931686896883,15,b18;b20;b23;b24;b27;b28;b33;b62;b69;b80;b123;b126;b135;b152;b157,9.037777185440063
HHO,20,0.7772680106801775,1.3858786788368818,1.1412565057255657,0.3282878077106681,2.5756595835624547,1.7811174831256058,8,b25;b33;b62;b69;b80;b134;b149;b159,9.568319082260132
HHO,21,0.9351995872474267,0.7475199736971923,0.5659926258087685,0.08231915210012719,3.0105280747472847,2.074396769192965,9,b14;b15;b27;b29;b62;b67;b81;b93;b99,9.54280400276184
HHO,22,0.8657525401643065,1.075937275755522,0.832827080015467,0.2738271778686989,2.678038665262902,1.8463879871965194,19,b28;b55;b61;b69;b72;b81;b98;b108;b119;b125;b135;b136;b141;b145;b149;b150;b155;b157;b162,9.616679906845093
HHO,23,0.81520912070979,1.2623337140541322,1.0559290146217863,0.19642055446192852,2.817158339417417,1.935941666696733,10,b27;b37;b61;b67;b75;b93;b98;b122;b134;b137,9.067203998565674
HHO,24,0.662767862892524,1.705290579005496,1.352537875714497,0.2954113226587479,2.6379385677695852,1.919412572428046,4,b17;b26;b32;b88,8.860227108001709
HHO,25,0.7260227418792464,1.5370612464254274,1.1932588804842599,0.32442252002529526,2.583059616100291,1.82901048152847,4,b26;b117;b130;b135,8.27016019821167
HHO,26,0.7536354794484019,1.4575484420884646,1.110260782725344,0.5138413636110211,2.1912193287403623,1.7205727847501187,10,b63;b69;b78;b88;b102;b109;b118;b129;b135;b158,9.581732988357544
HHO,27,0.7661557807274498,1.420029068432949,1.1168564974480462,0.43697160909608157,2.3580987876201935,1.706337772718224,6,b16;b68;b97;b104;b109;b160,8.562618970870972
HHO,28,0.8791015973312133,1.021043386974358,0.8033939204749333,0.23492957043909024,2.7488279359249894,1.9028153837884592,13,b28;b33;b59;b62;b66;b67;b69;b83;b98;b120;b128;b153;b161,8.432024717330933
HHO,29,0.908991761910855,0.8858787183707862,0.7191151414288269,0.26312727465499186,2.697696499984439,2.025405196905777,9,b15;b19;b64;b103;b106;b112;b119;b148;b159,8.630617141723633
HHO,30,0.8649941798954621,1.0789719663515203,0.8160860998171028,0.3396591113476569,2.5537650702133283,1.812713689371853,18,b15;b19;b27;b32;b33;b37;b69;b75;b83;b88;b92;b101;b102;b108;b119;b129;b133;b159,9.01181173324585
HHO,31,0.8089408062241841,1.2835650575383382,1.05470261180705,0.27036716376393677,2.6844111429585658,1.894938502888558,6,b27;b63;b68;b106;b128;b152,9.667428970336914
HHO,32,0.8053079646999144,1.29571058908143,1.0437346331897082,0.14543074691758684,2.9051628310621473,2.0300292111072866,12,b16;b28;b34;b43;b47;b64;b67;b71;b72;b103;b151;b161,9.442312240600586
HHO,33,0.7687914272436807,1.4120038530495582,1.168196627616806,0.18150787578676741,2.843178327438876,1.9883180534301257,10,b18;b28;b29;b31;b69;b94;b100;b106;b125;b155,8.704060316085815
HHO,34,0.7463960641743792,1.4788084042693292,1.24666588188626,0.25522249340028325,2.7121276321683423,1.9828453943371467,10,b17;b25;b28;b33;b68;b83;b87;b103;b116;b140,8.804183959960938
HHO,35,0.8631339760735028,1.0863799476104428,0.8825775611061514,0.23256264098164803,2.7530767326016345,1.967742114284525,8,b28;b43;b68;b96;b104;b110;b119;b149,8.944263935089111
HHO,36,0.7612336934244202,1.4348960370142523,1.0839793309311343,0.31829020432329325,2.5947565375665005,1.8653048834858126,11,b14;b26;b47;b62;b69;b71;b73;b99;b123;b125;b134,9.470587015151978
HHO,37,0.7125907475402304,1.5742883729886337,1.2641892419606482,0.14935396972702897,2.8984865363065047,2.113127727201685,2,b27;b89,7.482781171798706
HHO,38,0.9380634174910614,0.7308151379358472,0.5451480353638531,0.19988750053854243,2.8110746264390882,1.9644833053688444,9,b15;b27;b36;b65;b68;b103;b106;b119;b136,8.781001806259155
HHO,39,0.7041319795799862,1.5972868946143346,1.1650453987465301,0.24052832721361206,2.738751557448005,1.911466337587719,10,b19;b22;b26;b69;b115;b118;b130;b136;b151;b152,9.519200086593628
MSHHO_I1,0,0.8636235752853871,1.084435099373073,0.8729710670535138,0.3827075318688854,2.4691207917835003,1.9250995928674497,11,b17;b67;b72;b109;b116;b118;b120;b122;b128;b145;b148,9.735379934310913
MSHHO_I1,1,0.7831731601887222,1.367383816219817,0.9692219034446101,0.08840233960496979,3.0005332832836826,2.0822765248609376,3,b15;b27;b117,7.74839186668396
MSHHO_I1,2,0.7857646761176509,1.3591877622396982,1.1359737304381057,0.43777678370123496,2.3564120515759863,1.7490333218516039,16,b22;b33;b52;b62;b67;b72;b75;b83;b104;b109;b121;b135;b138;b139;b148;b151,10.225361108779907
MSHHO_I1,3,0.8757124522627804,1.035255925638562,0.8455119461245352,0.34444051355270544,2.5445026103599537,1.8226954522549765,18,b19;b28;b50;b59;b60;b61;b66;b68;b69;b78;b83;b106;b114;b122;b125;b135;b149;b154,9.900755882263184
MSHHO_I1,4,0.9029398835464623,0.9148593256325513,0.7093066696375517,0.18646604518004817,2.834553703574647,2.000435340802988,15,b14;b19;b26;b27;b35;b53;b62;b67;b69;b93;b103;b119;b123;b126;b134,9.899799108505249
MSHHO_I1,5,0.8687225699918925,1.0639689361970655,0.8996481083956115,0.36245986520138407,2.5092885940899623,1.9363553114840737,17,b17;b30;b32;b67;b84;b87;b109;b110;b115;b116;b119;b121;b127;b136;b138;b149;b153,9.875495195388794
MSHHO_I1,6,0.7124259315572552,1.5747396992697091,1.1804338626604516,0.09891874454676741,2.983175648914672,1.9307021478156352,1,b27,6.703061819076538
MSHHO_I1,7,0.8607594949702239,1.0957631981436649,0.8693675700776764,0.27390214883599406,2.677900419706607,1.8887358276643993,24,b17;b18;b28;b49;b50;b59;b60;b61;b66;b69;b77;b83;b95;b108;b109;b111;b117;b123;b125;b143;b151;b153;b155;b161,9.998573064804077
