param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.2588,0.1365,2.6953,0.2345,5.9,3.86,10
0.2,0.2694,0.0904,2.6812,0.1629,5.9,2.34,10
0.3,0.3043,0.0587,2.619,0.1084,5.6,2.73,10
0.5,0.2814,0.0756,2.6606,0.1348,5.0,3.13,10
