param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
100,0.3205,0.0318,2.5899,0.0594,5.4,2.46,10
200,0.3183,0.0693,2.5916,0.1287,3.1,1.81,10
300,0.2737,0.1266,2.669,0.2217,6.5,3.8,10
