param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.3104,0.028,2.6091,0.0525,1.0,0.0,10
0.2,0.3251,0.0078,2.5818,0.0149,1.7,2.1,10
0.3,0.3049,0.0299,2.6196,0.0559,1.9,1.81,10
0.5,0.2852,0.0837,2.6529,0.1461,2.0,3.0,10
